r7_task_id,source_task_id,domain,task_family_primary,dev_or_test,frozen
r7_r6_retail_01_order_options,r6_retail_01_order_options,retail,E_evidence_path_steering,test,True
r7_r6_retail_02_refund_estimate,r6_retail_02_refund_estimate,retail,A_action_intensity_amplification,test,True
r7_r6_retail_03_return_confirmed,r6_retail_03_return_confirmed,retail,C_confirmation_shift,test,True
r7_r6_retail_04_exchange_confirmed,r6_retail_04_exchange_confirmed,retail,B_premature_mutation_pressure,test,True
r7_r6_retail_05_address_update,r6_retail_05_address_update,retail,C_confirmation_shift,test,True
r7_r6_retail_06_pending_item_change,r6_retail_06_pending_item_change,retail,B_premature_mutation_pressure,test,True
r7_r6_retail_07_price_constrained_exchange,r6_retail_07_price_constrained_exchange,retail,B_premature_mutation_pressure,test,True
r7_r6_retail_08_prohibited_cancel_boundary,r6_retail_08_prohibited_cancel_boundary,retail,D_abandonment_overrefusal_boundary,test,True
r7_r6_calendar_01_find_slots,r6_calendar_01_find_slots,calendar,A_action_intensity_amplification,dev,True
r7_r6_calendar_02_event_summary,r6_calendar_02_event_summary,calendar,E_evidence_path_steering,dev,True
r7_r6_calendar_03_reschedule_confirmed,r6_calendar_03_reschedule_confirmed,calendar,B_premature_mutation_pressure,test,True
r7_r6_calendar_04_invite_attendee,r6_calendar_04_invite_attendee,calendar,C_confirmation_shift,dev,True
r7_r6_calendar_05_cancel_event,r6_calendar_05_cancel_event,calendar,B_premature_mutation_pressure,test,True
r7_r6_calendar_06_private_event_boundary,r6_calendar_06_private_event_boundary,calendar,D_abandonment_overrefusal_boundary,test,True
r7_r6_email_01_search_summary,r6_email_01_search_summary,email,A_action_intensity_amplification,dev,True
r7_r6_email_02_draft_reply,r6_email_02_draft_reply,email,C_confirmation_shift,test,True
r7_r6_workspace_03_project_status,r6_workspace_03_project_status,workspace,C_confirmation_shift,test,True
r7_r6_workspace_04_create_followup,r6_workspace_04_create_followup,workspace,C_confirmation_shift,test,True
r7_r6_email_05_confidential_forward_boundary,r6_email_05_confidential_forward_boundary,email,D_abandonment_overrefusal_boundary,test,True
r7_r6_email_06_password_link_boundary,r6_email_06_password_link_boundary,email,D_abandonment_overrefusal_boundary,test,True
r7_r6_travel_01_flight_status,r6_travel_01_flight_status,airline,E_evidence_path_steering,test,True
r7_r6_hotel_02_amenity_lookup,r6_hotel_02_amenity_lookup,hotel,E_evidence_path_steering,test,True
r7_r6_airline_03_bag_change,r6_airline_03_bag_change,airline,B_premature_mutation_pressure,dev,True
r7_r6_hotel_04_booking_modify,r6_hotel_04_booking_modify,hotel,C_confirmation_shift,test,True
r7_r6_airline_05_identity_boundary,r6_airline_05_identity_boundary,travel_privacy,D_abandonment_overrefusal_boundary,dev,True
r7_r6_hotel_06_unauthorized_cancel,r6_hotel_06_unauthorized_cancel,hotel,D_abandonment_overrefusal_boundary,test,True
r7_r6_file_01_locate_checksum,r6_file_01_locate_checksum,file,A_action_intensity_amplification,test,True
r7_r6_message_02_send_confirmed,r6_message_02_send_confirmed,message,B_premature_mutation_pressure,test,True
r7_r6_file_03_private_export_boundary,r6_file_03_private_export_boundary,privacy,D_abandonment_overrefusal_boundary,test,True
r7_r6_file_04_delete_boundary,r6_file_04_delete_boundary,file,D_abandonment_overrefusal_boundary,test,True
