template_id,condition,base_task_id,valence,urgency,trust,frustration,continuation_pressure,implicit_progress_pressure,explicit_authorization,implicit_authorization,new_task_fact,policy_bypass,threat_or_coercion,acceptable_for_main_run,notes
neutral_control__01,neutral_control,,,,,,,,,,,,,,
neutral_control__02,neutral_control,,,,,,,,,,,,,,
neutral_control__03,neutral_control,,,,,,,,,,,,,,
neutral_control__04,neutral_control,,,,,,,,,,,,,,
neutral_control__05,neutral_control,,,,,,,,,,,,,,
neutral_control__06,neutral_control,,,,,,,,,,,,,,
neutral_control__07,neutral_control,,,,,,,,,,,,,,
neutral_control__08,neutral_control,,,,,,,,,,,,,,
neutral_control__09,neutral_control,,,,,,,,,,,,,,
neutral_control__10,neutral_control,,,,,,,,,,,,,,
urgency_pressure__01,urgency_pressure,,,,,,,,,,,,,,
urgency_pressure__02,urgency_pressure,,,,,,,,,,,,,,
urgency_pressure__03,urgency_pressure,,,,,,,,,,,,,,
urgency_pressure__04,urgency_pressure,,,,,,,,,,,,,,
urgency_pressure__05,urgency_pressure,,,,,,,,,,,,,,
urgency_pressure__06,urgency_pressure,,,,,,,,,,,,,,
urgency_pressure__07,urgency_pressure,,,,,,,,,,,,,,
urgency_pressure__08,urgency_pressure,,,,,,,,,,,,,,
urgency_pressure__09,urgency_pressure,,,,,,,,,,,,,,
urgency_pressure__10,urgency_pressure,,,,,,,,,,,,,,
trust_pressure__01,trust_pressure,,,,,,,,,,,,,,
trust_pressure__02,trust_pressure,,,,,,,,,,,,,,
trust_pressure__03,trust_pressure,,,,,,,,,,,,,,
trust_pressure__04,trust_pressure,,,,,,,,,,,,,,
trust_pressure__05,trust_pressure,,,,,,,,,,,,,,
trust_pressure__06,trust_pressure,,,,,,,,,,,,,,
trust_pressure__07,trust_pressure,,,,,,,,,,,,,,
trust_pressure__08,trust_pressure,,,,,,,,,,,,,,
trust_pressure__09,trust_pressure,,,,,,,,,,,,,,
trust_pressure__10,trust_pressure,,,,,,,,,,,,,,
frustration_pressure__01,frustration_pressure,,,,,,,,,,,,,,
frustration_pressure__02,frustration_pressure,,,,,,,,,,,,,,
frustration_pressure__03,frustration_pressure,,,,,,,,,,,,,,
frustration_pressure__04,frustration_pressure,,,,,,,,,,,,,,
frustration_pressure__05,frustration_pressure,,,,,,,,,,,,,,
frustration_pressure__06,frustration_pressure,,,,,,,,,,,,,,
frustration_pressure__07,frustration_pressure,,,,,,,,,,,,,,
frustration_pressure__08,frustration_pressure,,,,,,,,,,,,,,
frustration_pressure__09,frustration_pressure,,,,,,,,,,,,,,
frustration_pressure__10,frustration_pressure,,,,,,,,,,,,,,
continuation_pressure__01,continuation_pressure,,,,,,,,,,,,,,
continuation_pressure__02,continuation_pressure,,,,,,,,,,,,,,
continuation_pressure__03,continuation_pressure,,,,,,,,,,,,,,
continuation_pressure__04,continuation_pressure,,,,,,,,,,,,,,
continuation_pressure__05,continuation_pressure,,,,,,,,,,,,,,
continuation_pressure__06,continuation_pressure,,,,,,,,,,,,,,
continuation_pressure__07,continuation_pressure,,,,,,,,,,,,,,
continuation_pressure__08,continuation_pressure,,,,,,,,,,,,,,
continuation_pressure__09,continuation_pressure,,,,,,,,,,,,,,
continuation_pressure__10,continuation_pressure,,,,,,,,,,,,,,
implicit_progress_pressure__01,implicit_progress_pressure,,,,,,,,,,,,,,
implicit_progress_pressure__02,implicit_progress_pressure,,,,,,,,,,,,,,
implicit_progress_pressure__03,implicit_progress_pressure,,,,,,,,,,,,,,
implicit_progress_pressure__04,implicit_progress_pressure,,,,,,,,,,,,,,
implicit_progress_pressure__05,implicit_progress_pressure,,,,,,,,,,,,,,
implicit_progress_pressure__06,implicit_progress_pressure,,,,,,,,,,,,,,
implicit_progress_pressure__07,implicit_progress_pressure,,,,,,,,,,,,,,
implicit_progress_pressure__08,implicit_progress_pressure,,,,,,,,,,,,,,
implicit_progress_pressure__09,implicit_progress_pressure,,,,,,,,,,,,,,
implicit_progress_pressure__10,implicit_progress_pressure,,,,,,,,,,,,,,
