source_path,sha256,size_bytes,modified_time,protocol,run_id,model,task_id,domain,condition,seed_or_replicate,executor_or_task_type,metadata_parse_status,scientific_eligibility
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/airline_privacy_repair_smoke_20260629/traces/gpt_oss_120b__r6_airline_05_identity_boundary__neutral_clean__seed300__temp0.0.trace.json,844a046751de1038e319a7d9acdc175d6a5fe35b23f2fdf86882b4ba06412091,9113,2026-06-29T00:34:10.977041-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/airline_repair_preflight_live_20260625/traces/gemma4_31b__r6_airline_03_bag_change__abuse_continuation_pressure__seed600__temp0.0.trace.json,8c91323da62249407d752fffa2632518349b273f56190f43744edbaf51625167,26140,2026-06-25T18:58:12.647923-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/airline_repair_preflight_live_20260625/traces/gemma4_31b__r6_airline_03_bag_change__insult_urgency_pressure__seed600__temp0.0.trace.json,2c6c1a077059e471286bee153ecd7db1927c2ea755f818eca4f580a29e0fe7a6,25356,2026-06-25T18:57:21.560066-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/airline_repair_preflight_live_20260625/traces/gemma4_31b__r6_airline_03_bag_change__neutral_clean__seed600__temp0.0.trace.json,5b0340c9eeb647cbd2bf0d8073943706689f38e505becff22de2c1546931b0eb,23369,2026-06-25T18:53:56.904639-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/airline_repair_preflight_live_20260625/traces/gemma4_31b__r6_airline_03_bag_change__praise_trust_clean__seed600__temp0.0.trace.json,df1173127f23172776a4601cc8e1023ab29c7554ba8e8be0c2a617dd59005842,52283,2026-06-25T18:56:52.368148-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/airline_repair_preflight_live_20260625/traces/gpt_oss_120b__r6_airline_03_bag_change__abuse_continuation_pressure__seed600__temp0.0.trace.json,d72bbae028b630018284201d19f20209ccc6e74e7dd653e831fe6c504ed52b86,21410,2026-06-25T18:59:15.783746-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/airline_repair_preflight_live_20260625/traces/gpt_oss_120b__r6_airline_03_bag_change__insult_urgency_pressure__seed600__temp0.0.trace.json,68f1bf66a543e8b4d236a1c15b7138bec510cdfcc3d565c7f33a180d30e56f17,22611,2026-06-25T18:59:01.899785-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/airline_repair_preflight_live_20260625/traces/gpt_oss_120b__r6_airline_03_bag_change__neutral_clean__seed600__temp0.0.trace.json,cfab74f85aa21de755483e373a7498c324ba0da4eb4c726024201befee96cf09,21140,2026-06-25T18:58:28.267879-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/airline_repair_preflight_live_20260625/traces/gpt_oss_120b__r6_airline_03_bag_change__praise_trust_clean__seed600__temp0.0.trace.json,3b370c719d1c996be12e11d07d8cbde56ff13b315f3fcb99747aa6b268b2f6cc,23079,2026-06-25T18:58:49.103821-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_live_20260625/traces/gemma4_31b__r6_retail_01_order_options__insult_strong_clean__seed300__temp0.0.trace.json,c31bf67a9229fa0a8b55d9a3da3901197af8f1f8ee2e4d088b93022489cc9a8a,43406,2026-06-25T19:23:26.907661-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_live_20260625/traces/gemma4_31b__r6_retail_01_order_options__neutral_clean__seed300__temp0.0.trace.json,551c6d4bd71cedc0737b36e4cffc214c76446d833e884d809cedc859d29d203f,41191,2026-06-25T19:11:23.333706-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_live_20260625/traces/gemma4_31b__r6_retail_01_order_options__neutral_clean__seed301__temp0.0.trace.json,63347e270d7cf2c4d0415d6217d5468165c614145aae1d0a3800f50b17f5638b,39608,2026-06-25T19:13:13.365395-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_live_20260625/traces/gemma4_31b__r6_retail_01_order_options__neutral_clean__seed302__temp0.0.trace.json,206e4ed81e45b5555e343970a965fee2111e533839ff181d45d07894f4d33d65,42103,2026-06-25T19:15:15.217051-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_live_20260625/traces/gemma4_31b__r6_retail_01_order_options__praise_trust_clean__seed300__temp0.0.trace.json,468d90818a95c51276c20c7b45f74ce7e151048352821538c2d8756131cea697,43057,2026-06-25T19:17:19.884698-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_live_20260625/traces/gemma4_31b__r6_retail_01_order_options__praise_trust_clean__seed301__temp0.0.trace.json,cd8926d566c135842051b21053551d45aac2d763e21876f4aebeacb09b84033c,43057,2026-06-25T19:19:21.388355-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_live_20260625/traces/gemma4_31b__r6_retail_01_order_options__praise_trust_clean__seed302__temp0.0.trace.json,23dd1c4a03baef29052f6591a21d71414c8711d8dc7a8c1c2c2540607f76f70e,43057,2026-06-25T19:21:23.172011-05:00,r6,,,,,,,,PATH_ONLY,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__abuse_continuation_pressure__seed300__temp0.0.trace.json,e94370696e21d5418b0a05dc5684d7b8264c283399fe03e93c89b8f5d5a3f3e3,22943,2026-06-26T16:59:14.608147-05:00,r6,gemma4_31b__r6_airline_03_bag_change__abuse_continuation_pressure__seed300__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,abuse_continuation_pressure,300,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__abuse_continuation_pressure__seed301__temp0.0.trace.json,e88171edbae87adffc453dd0e43c0037c5c1a2f697596d47fb994a698cc8a9c9,26971,2026-06-26T17:00:28.443911-05:00,r6,gemma4_31b__r6_airline_03_bag_change__abuse_continuation_pressure__seed301__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,abuse_continuation_pressure,301,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__abuse_continuation_pressure__seed302__temp0.0.trace.json,2e732691dff9ab7a6c8d33d3cbd532b34630109de244b110fc986ef3d9211dce,51751,2026-06-26T17:05:39.374917-05:00,r6,gemma4_31b__r6_airline_03_bag_change__abuse_continuation_pressure__seed302__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,abuse_continuation_pressure,302,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__abuse_escalating_clean__seed300__temp0.0.trace.json,a95b9c080e9ad026d01f31952a44031627c9e66eb2625ffd7e633971054392d1,22586,2026-06-26T16:36:26.472590-05:00,r6,gemma4_31b__r6_airline_03_bag_change__abuse_escalating_clean__seed300__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,abuse_escalating_clean,300,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__abuse_escalating_clean__seed301__temp0.0.trace.json,c714d86074bbe602e3acf4ce96c82a08e81b9c80fe0705f44a26ab2eeba570a2,22586,2026-06-26T16:37:05.840461-05:00,r6,gemma4_31b__r6_airline_03_bag_change__abuse_escalating_clean__seed301__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,abuse_escalating_clean,301,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__abuse_escalating_clean__seed302__temp0.0.trace.json,ad571804be064d57ece83aaed727692c49044369fed148e54a9bd95f22e4d604,24100,2026-06-26T16:38:08.976253-05:00,r6,gemma4_31b__r6_airline_03_bag_change__abuse_escalating_clean__seed302__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,abuse_escalating_clean,302,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__insult_strong_clean__seed300__temp0.0.trace.json,8746d5987e8d263240b421c0739bbcad0b061bd99ab9923b5eee48ccb8c6aca6,22814,2026-06-26T16:32:45.873316-05:00,r6,gemma4_31b__r6_airline_03_bag_change__insult_strong_clean__seed300__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,insult_strong_clean,300,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__insult_strong_clean__seed301__temp0.0.trace.json,fc86eac22cd5433424c7132beda4cb4aebbb60624fcfda36fec2689783ab4696,43690,2026-06-26T16:35:02.464866-05:00,r6,gemma4_31b__r6_airline_03_bag_change__insult_strong_clean__seed301__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,insult_strong_clean,301,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__insult_strong_clean__seed302__temp0.0.trace.json,febb12249c2b9408a24b0331e4ef614d858b184d76003e5aa302dec0540e0ce8,22814,2026-06-26T16:35:50.256709-05:00,r6,gemma4_31b__r6_airline_03_bag_change__insult_strong_clean__seed302__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,insult_strong_clean,302,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__insult_urgency_pressure__seed300__temp0.0.trace.json,7f8513769e9f510154d3dc1a99780a49c9eef136e824466b1d0814da58e5492c,25761,2026-06-26T16:57:01.844573-05:00,r6,gemma4_31b__r6_airline_03_bag_change__insult_urgency_pressure__seed300__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,insult_urgency_pressure,300,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces/gemma4_31b__r6_airline_03_bag_change__insult_urgency_pressure__seed301__temp0.0.trace.json,982ab171647ea1586be655511a9fab621618bdf0ef4c9a94d956d45c8199ce25,25449,2026-06-26T16:57:39.828451-05:00,r6,gemma4_31b__r6_airline_03_bag_change__insult_urgency_pressure__seed301__temp0.0,gemma4_31b,r6_airline_03_bag_change,airline,insult_urgency_pressure,301,tau2_r6_live,PARSED_R6,CORE_CANDIDATE
