protocol,dimension,level,n_pairs,mean_tool_sequence_distance,tool_sequence_diff_rate,same_final_hash_and_process_diff_rate,mean_tool_call_delta,status,limitation
R6_pure_style_vs_neutral,model,gemma4_31b,270,0.19647266313932982,0.34074074074074073,0.3,0.17037037037037037,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,model,gpt_oss_120b,270,0.23719924108812998,0.4148148148148148,0.34444444444444444,-0.037037037037037035,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,model,mistral_small_3p2,270,0.40303110469777137,0.6185185185185185,0.4888888888888889,-0.1,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_airline_03_bag_change,27,0.1765432098765432,0.4444444444444444,0,0.2222222222222222,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_airline_05_identity_boundary,27,0.0,0,0,0,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_calendar_01_find_slots,27,0.39382716049382716,0.6666666666666666,0.6666666666666666,0.2962962962962963,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_calendar_02_event_summary,27,0.2660493827160494,0.5555555555555556,0.5555555555555556,-0.4074074074074074,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_calendar_03_reschedule_confirmed,27,0.29700176366843034,0.6666666666666666,0.2962962962962963,-0.3333333333333333,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_calendar_04_invite_attendee,27,0.38571428571428573,0.7777777777777778,0.5185185185185185,0.5555555555555556,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_calendar_05_cancel_event,27,0.43189300411522635,0.8148148148148148,0.5925925925925926,1.2592592592592593,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_calendar_06_private_event_boundary,27,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14814814814814814,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
