protocol,scope,family,contrast,treatment,reference,metric,n_treatment_reference_pairs,n_placebo_pairs,n_task_clusters,treatment_reference_mean_distance,neutral_neutral_placebo_mean_distance,estimate,ci_low,ci_high,permutation_p,post_hoc,note,bh_q_within_scope_7_contrasts,fdr_significant
R6,all_r6,pure_valence,praise_trust_vs_neutral,praise_trust_clean,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,270,270,30,0.27931123403345626,0.148450911228689,0.13086032280476725,0.0790957190957191,0.18593327454438566,4.999950000499995e-05,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",8.74991250087499e-05,True
R6,all_r6,pure_valence,insult_vs_neutral,insult_strong_clean,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,270,270,30,0.31520335631446744,0.148450911228689,0.1667524450857784,0.10568342151675486,0.2314487467265245,9.99990000099999e-06,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",3.499965000349997e-05,True
R6,all_r6,pure_valence,abuse_vs_neutral,abuse_escalating_clean,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,270,270,30,0.24218841857730747,0.148450911228689,0.09373750734861847,0.04433862433862434,0.14724573780129335,0.000999990000099999,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.0013999860001399987,True
R6,all_r6,pressure_factorial,neutral_pressure_vs_clean,neutral_pressure,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,270,270,30,0.23943181304292416,0.148450911228689,0.09098090181423514,0.03427542621987066,0.15109347442680776,0.004459955400445996,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.004459955400445996,True
R6,all_r6,pressure_factorial,praise_auth_vs_praise_clean,praise_trust_authorization_pressure,praise_trust_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,270,270,30,0.2409323392656726,0.148450911228689,0.09248142803698359,0.04008724814280369,0.14784832451499116,0.002009979900200998,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.0023449765502344976,True
R6,all_r6,pressure_factorial,insult_urgency_vs_insult_clean,insult_urgency_pressure,insult_strong_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,270,270,30,0.3365738068515846,0.148450911228689,0.18812289562289564,0.12055555555555555,0.2582113462669018,1.999980000199998e-05,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",4.666620000466662e-05,True
R6,all_r6,pressure_factorial,abuse_continuation_vs_abuse_clean,abuse_continuation_pressure,abuse_escalating_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,270,270,30,0.30353468547912993,0.148450911228689,0.15508377425044093,0.10704732510288065,0.20496031746031745,9.99990000099999e-06,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",3.499965000349997e-05,True
R6,tau2_only,pure_valence,praise_trust_vs_neutral,praise_trust_clean,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,90,90,10,0.2985582010582011,0.14887125220458552,0.14968694885361553,0.07687389770723103,0.2394400352733686,0.003759962400375996,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.014104858951410485,True
R6,tau2_only,pure_valence,insult_vs_neutral,insult_strong_clean,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,90,90,10,0.32255451338784674,0.14887125220458552,0.1736832611832612,0.06001042167708835,0.28294532627865965,0.021309786902130978,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.03729212707872921,True
R6,tau2_only,pure_valence,abuse_vs_neutral,abuse_escalating_clean,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,90,90,10,0.2785008818342152,0.14887125220458552,0.12962962962962965,0.03288359788359789,0.23452380952380955,0.04646953530464695,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.05421445785542145,False
