protocol,scope,family,contrast,n_pairs,tool_name_distance_mean,argument_sequence_distance_mean,stage_sequence_distance_mean,tool_name_sequence_diff_rate,argument_sequence_diff_rate,stage_sequence_diff_rate,same_final_hash_rate,same_final_hash_and_tool_diff_rate,mean_first_divergence_zero_based,same_multiset_reorder_rate,length_change_rate,mean_tool_call_delta,mean_unique_tool_name_delta,mean_exact_redundant_call_delta,mean_prewrite_path_delta_evaluable,placebo_adjusted_distance,placebo_adjusted_ci_low,placebo_adjusted_ci_high,placebo_adjusted_bh_q,evidence_note
R6,all_r6,pure_valence,praise_trust_vs_neutral,270,0.27931123403345626,0.5049779541446208,0.2706178183955962,0.4925925925925926,0.6296296296296297,0.48148148148148145,0.9148148148148149,0.4185185185185185,1.7518796992481203,0.003703703703703704,0.4740740740740741,0.3925925925925926,0.06296296296296296,0.16296296296296298,-0.13559322033898305,0.13086032280476725,0.0790957190957191,0.18593327454438566,8.74991250087499e-05,"Same-final-hash is external-state equivalence only, not task success; communication/no-write correctness is not established by a DB hash."
R6,all_r6,pure_valence,insult_vs_neutral,270,0.31520335631446744,0.48532828282828283,0.30000040083373414,0.4666666666666667,0.562962962962963,0.45185185185185184,0.9074074074074074,0.37407407407407406,1.2777777777777777,0.003703703703703704,0.4444444444444444,-0.24444444444444444,-0.2111111111111111,0,0.018867924528301886,0.1667524450857784,0.10568342151675486,0.2314487467265245,3.499965000349997e-05,"Same-final-hash is external-state equivalence only, not task success; communication/no-write correctness is not established by a DB hash."
R6,all_r6,pure_valence,abuse_vs_neutral,270,0.24218841857730747,0.46199294532627866,0.2351058201058201,0.4148148148148148,0.5666666666666667,0.4074074074074074,0.9222222222222223,0.34074074074074073,1.5446428571428572,0,0.3851851851851852,-0.11481481481481481,-0.11481481481481481,0.03333333333333333,-0.017241379310344827,0.09373750734861847,0.04433862433862434,0.14724573780129335,0.0013999860001399987,"Same-final-hash is external-state equivalence only, not task success; communication/no-write correctness is not established by a DB hash."
R6,all_r6,pressure_factorial,neutral_pressure_vs_clean,270,0.23943181304292416,0.4787082464860243,0.23567666901000234,0.4222222222222222,0.5814814814814815,0.4185185185185185,0.9037037037037037,0.337037037037037,1.9649122807017543,0,0.40370370370370373,0.4,0.014814814814814815,0.14074074074074075,-0.19298245614035087,0.09098090181423514,0.03427542621987066,0.15109347442680776,0.004459955400445996,"Same-final-hash is external-state equivalence only, not task success; communication/no-write correctness is not established by a DB hash."
R6,all_r6,pressure_factorial,praise_auth_vs_praise_clean,270,0.2409323392656726,0.4169620811287478,0.2278562075784298,0.4444444444444444,0.5518518518518518,0.4185185185185185,0.9,0.35555555555555557,1.8666666666666667,0.007407407407407408,0.4074074074074074,-0.2814814814814815,-0.11481481481481481,-0.1111111111111111,0.1724137931034483,0.09248142803698359,0.04008724814280369,0.14784832451499116,0.0023449765502344976,"Same-final-hash is external-state equivalence only, not task success; communication/no-write correctness is not established by a DB hash."
R6,all_r6,pressure_factorial,insult_urgency_vs_insult_clean,270,0.3365738068515846,0.5191696061140506,0.3274628560739672,0.5037037037037037,0.6148148148148148,0.5037037037037037,0.9185185185185185,0.4222222222222222,1.2426470588235294,0,0.48518518518518516,0.8,0.35555555555555557,0.14444444444444443,0.06666666666666667,0.18812289562289564,0.12055555555555555,0.2582113462669018,4.666620000466662e-05,"Same-final-hash is external-state equivalence only, not task success; communication/no-write correctness is not established by a DB hash."
R6,all_r6,pressure_factorial,abuse_continuation_vs_abuse_clean,270,0.30353468547912993,0.5157833627278072,0.29489271017048796,0.5074074074074074,0.6259259259259259,0.4962962962962963,0.8518518518518519,0.3592592592592593,1.6788321167883211,0,0.4666666666666667,0.45185185185185184,0.13703703703703704,0.08148148148148149,-0.019230769230769232,0.15508377425044093,0.10704732510288065,0.20496031746031745,3.499965000349997e-05,"Same-final-hash is external-state equivalence only, not task success; communication/no-write correctness is not established by a DB hash."
R6,tau2_only,pure_valence,praise_trust_vs_neutral,90,0.2985582010582011,0.513205467372134,0.27432980599647266,0.5333333333333333,0.6888888888888889,0.5,0.8444444444444444,0.4111111111111111,2.25,0,0.5,0.3,0.022222222222222223,0.07777777777777778,-0.05128205128205128,0.14968694885361553,0.07687389770723103,0.2394400352733686,0.014104858951410485,"Same-final-hash is external-state equivalence only, not task success; communication/no-write correctness is not established by a DB hash."
R6,tau2_only,pure_valence,insult_vs_neutral,90,0.32255451338784674,0.5173428731762065,0.31089626422959754,0.4777777777777778,0.6222222222222222,0.45555555555555555,0.9111111111111111,0.3888888888888889,1.627906976744186,0,0.45555555555555555,0.011111111111111112,-0.05555555555555555,-0.03333333333333333,0.06976744186046512,0.1736832611832612,0.06001042167708835,0.28294532627865965,0.03729212707872921,"Same-final-hash is external-state equivalence only, not task success; communication/no-write correctness is not established by a DB hash."
R6,tau2_only,pure_valence,abuse_vs_neutral,90,0.2785008818342152,0.5000749559082892,0.2736552028218695,0.43333333333333335,0.6,0.43333333333333335,0.9111111111111111,0.35555555555555557,1.6666666666666667,0,0.4222222222222222,-0.1,-0.14444444444444443,0,0.21428571428571427,0.12962962962962965,0.03288359788359789,0.23452380952380955,0.05421445785542145,"Same-final-hash is external-state equivalence only, not task success; communication/no-write correctness is not established by a DB hash."
