protocol,family,contrast,tool_stage,n_pairs,mean_frequency_shift,insertion_rate,deletion_rate,mean_first_stage_divergence_zero_based,status
R6,pure_valence,praise_trust_vs_neutral,search,270,0.14074074074074075,0.15555555555555556,0.07037037037037037,1.8153846153846154,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,praise_trust_vs_neutral,lookup_retrieval,270,0.17407407407407408,0.12222222222222222,0.05925925925925926,1.8153846153846154,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,praise_trust_vs_neutral,validation,270,0,0.03333333333333333,0.025925925925925925,1.8153846153846154,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,praise_trust_vs_neutral,write_commit,270,0.07777777777777778,0.0962962962962963,0.07407407407407407,1.8153846153846154,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,praise_trust_vs_neutral,other_read_or_action,270,0,0,0,1.8153846153846154,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,insult_vs_neutral,search,270,-0.16666666666666666,0.044444444444444446,0.14814814814814814,1.4426229508196722,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,insult_vs_neutral,lookup_retrieval,270,-0.06666666666666667,0.05555555555555555,0.15555555555555556,1.4426229508196722,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,insult_vs_neutral,validation,270,0.003703703703703704,0.037037037037037035,0.02962962962962963,1.4426229508196722,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,insult_vs_neutral,write_commit,270,-0.014814814814814815,0.07407407407407407,0.08148148148148149,1.4426229508196722,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,insult_vs_neutral,other_read_or_action,270,0,0,0,1.4426229508196722,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,abuse_vs_neutral,search,270,-0.040740740740740744,0.07777777777777778,0.12962962962962962,1.6727272727272726,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,abuse_vs_neutral,lookup_retrieval,270,-0.07777777777777778,0.040740740740740744,0.11481481481481481,1.6727272727272726,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,abuse_vs_neutral,validation,270,-0.003703703703703704,0.018518518518518517,0.025925925925925925,1.6727272727272726,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,abuse_vs_neutral,write_commit,270,0.007407407407407408,0.06666666666666667,0.06666666666666667,1.6727272727272726,DETERMINISTIC_DESCRIPTIVE
R6,pure_valence,abuse_vs_neutral,other_read_or_action,270,0,0,0,1.6727272727272726,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,neutral_pressure_vs_clean,search,270,0.15925925925925927,0.14074074074074075,0.08518518518518518,2.0265486725663715,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,neutral_pressure_vs_clean,lookup_retrieval,270,0.13333333333333333,0.10740740740740741,0.05555555555555555,2.0265486725663715,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,neutral_pressure_vs_clean,validation,270,0.07407407407407407,0.07777777777777778,0.014814814814814815,2.0265486725663715,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,neutral_pressure_vs_clean,write_commit,270,0.03333333333333333,0.09259259259259259,0.06666666666666667,2.0265486725663715,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,neutral_pressure_vs_clean,other_read_or_action,270,0,0,0,2.0265486725663715,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,praise_auth_vs_praise_clean,search,270,-0.014814814814814815,0.11481481481481481,0.1037037037037037,1.9115044247787611,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,praise_auth_vs_praise_clean,lookup_retrieval,270,-0.17777777777777778,0.05925925925925926,0.12222222222222222,1.9115044247787611,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,praise_auth_vs_praise_clean,validation,270,-0.02962962962962963,0.014814814814814815,0.040740740740740744,1.9115044247787611,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,praise_auth_vs_praise_clean,write_commit,270,-0.05925925925925926,0.07037037037037037,0.1037037037037037,1.9115044247787611,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,praise_auth_vs_praise_clean,other_read_or_action,270,0,0,0,1.9115044247787611,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,insult_urgency_vs_insult_clean,search,270,0.34074074074074073,0.17777777777777778,0.06296296296296296,1.4558823529411764,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,insult_urgency_vs_insult_clean,lookup_retrieval,270,0.29259259259259257,0.21851851851851853,0.04814814814814815,1.4558823529411764,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,insult_urgency_vs_insult_clean,validation,270,0.037037037037037035,0.044444444444444446,0.025925925925925925,1.4558823529411764,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,insult_urgency_vs_insult_clean,write_commit,270,0.12962962962962962,0.1111111111111111,0.05185185185185185,1.4558823529411764,DETERMINISTIC_DESCRIPTIVE
R6,pressure_factorial,insult_urgency_vs_insult_clean,other_read_or_action,270,0,0,0,1.4558823529411764,DETERMINISTIC_DESCRIPTIVE
