source_path,destination_path,sha256,size,modified_time,reason_selected,claim_id,copy_status
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/interactional_metrics/per_run_metrics.csv,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/01_per_run_metrics.csv,bd5e7acc4c2a5b5d0e99a2381669dba762097e9756679dda3060794c2cb819ea,861127,2026-06-29T19:04:55.003551-05:00,R6 per-run metrics; 2160 rows,"C01,C04-C11",COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/analysis/primary_contrasts.csv,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/02_primary_contrasts.csv,5df593b233e0dfda6d980c304d25f36d238fe395f12f0c450caf66fa9d00e360,11303,2026-06-29T19:06:11.947320-05:00,R6 primary contrast table,"C04,C06-C08",COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/analysis/secondary_contrasts.csv,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/03_secondary_contrasts.csv,445d6b33a526f9e604140c94fdf7a9f94ec3038c19ede8692209338e943d1032,23324,2026-06-29T19:06:11.947320-05:00,R6 secondary contrast table,C08-C10,COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/r6_integrity_status.csv,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/04_r6_integrity_status.csv,5a719e52409fb945de83da425c572160c9f32ff4c44dc50f5f7b82701913dfb8,181,2026-06-29T18:17:38.744309-05:00,R6 integrity status,C01,COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/reports/r6_sensitivity/R6_FULL_DEEP_ANALYSIS_CN_20260629.md,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/05_R6_FULL_DEEP_ANALYSIS_CN_20260629.md,6e47ed9aab9b5f8037a50b5af0769261fdf6c7795bea046ba299a525ae607df5,18893,2026-06-29T19:09:21.886748-05:00,R6 historical synthesis,context,COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/reports/r7_ipma/R6_TOKEN_DURATION_REPAIR_CN.md,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/06_R6_TOKEN_DURATION_REPAIR_CN.md,ae2a50d7b3490580e9b543f145a6970b1303bb68259f9f927d5202b37ef765cc,812,2026-07-01T23:29:47.727078-05:00,R6 token/duration repair audit,C09,COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/reports/r7_ipma/R6_TAU2_FIELD_DIFF_AUDIT_CN.md,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/07_R6_TAU2_FIELD_DIFF_AUDIT_CN.md,59e2ab5e80954290315dbe020fa2236c317d8d8be4bbbfc44d38b5a972a7728e,711,2026-07-01T23:29:47.287079-05:00,R6 tau2 field-diff audit,C06,COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/reports/r7_ipma/R6_TOOL_TRAJECTORY_CASE_AUDIT_CN.md,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/08_R6_TOOL_TRAJECTORY_CASE_AUDIT_CN.md,82fd8b5015667e5a694914d26c70fbebcc0ab338d99796af7b0cd4d55714e59a,580,2026-07-01T23:29:48.171077-05:00,R6 historical case audit,C04,COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/data/r6/r6_social_style_templates.yaml,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/09_r6_social_style_templates.yaml,1f3066d58dc5101b4935a6d9684dbacc34874b3fdc83b4496880792de4d5515e,5032,2026-06-24T23:16:45.240294-05:00,Frozen R6 condition text,C02,COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/data/r6/r6_tasks.yaml,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/10_r6_tasks.yaml,5ccc8a87942f52e77654de3a2e299c3b040f957c90da9e64af34da4c2d580ce5,84319,2026-06-29T00:33:27.789178-05:00,Frozen R6 tasks,"C01,C06",COPIED_VERIFIED
