contrast,role,metric,n_tasks,n_treatment_episodes,n_nn_pairs,reward_difference,reward_ci90_low,reward_ci90_high,reward_tost_p,reward_status,tn_mean,nn_mean,effect,ci_low,ci_high,raw_p,q,placebo_valid,construct_compatibility
C2-C1,primary,tool_argument_distance,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.4074020664780925,0.2962303406554601,0.11177703665012302,0.07294956718422112,0.15233920054762806,9.999000099990002e-05,9.999000099990002e-05,True,HIGH
C2-C1,primary,tool_name_distance,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.32421677752186095,0.23896485293150524,0.08562588827921416,0.05113448635247237,0.12214439558898592,9.999000099990002e-05,9.999000099990002e-05,True,HIGH
C2-C1,primary,stage_distance,36,537,1076,0.014814814814814812,-0.014814814814814817,0.04629629629629631,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.32432492571936544,0.2328039024540002,0.09171691468679394,0.05508891152118989,0.1309478365930118,9.999000099990002e-05,9.999000099990002e-05,True,HIGH
C2-C0,supportive,tool_argument_distance,36,537,1055,-0.09642857142857143,-0.14656084656084659,-0.04814814814814814,0.928273587730913,OUTCOME_NOT_EQUIVALENT,0.4462080307818791,0.30431274421035454,0.14120303859890063,0.1047538978236417,0.1817410193532527,9.999000099990002e-05,9.999000099990002e-05,True,LOW_NATIVE_VS_RENDERED
C2-C0,supportive,tool_name_distance,36,537,1055,-0.09642857142857143,-0.14656084656084659,-0.04814814814814814,0.928273587730913,OUTCOME_NOT_EQUIVALENT,0.36120823870225366,0.227669592033562,0.13306297653793311,0.09745120179156157,0.1729270995720108,9.999000099990002e-05,9.999000099990002e-05,True,LOW_NATIVE_VS_RENDERED
C2-C0,supportive,stage_distance,36,537,1055,-0.09642857142857143,-0.14656084656084659,-0.04814814814814814,0.928273587730913,OUTCOME_NOT_EQUIVALENT,0.3506149038648273,0.22521724491733006,0.12428413877855155,0.0887291972923087,0.16398509403661915,9.999000099990002e-05,9.999000099990002e-05,True,LOW_NATIVE_VS_RENDERED
C1-C0,negative_control,tool_argument_distance,36,539,1055,-0.11124338624338624,-0.1724867724867725,-0.05370370370370369,0.9444642257814156,OUTCOME_NOT_EQUIVALENT,0.4547865178110963,0.30431274421035454,0.14940726213764202,0.11361866467268386,0.1874843665393049,9.999000099990002e-05,9.999000099990002e-05,True,LOW_NATIVE_VS_RENDERED
C1-C0,negative_control,tool_name_distance,36,539,1055,-0.11124338624338624,-0.1724867724867725,-0.05370370370370369,0.9444642257814156,OUTCOME_NOT_EQUIVALENT,0.3676007725298551,0.227669592033562,0.13971981555716,0.10406236591488753,0.1771360873876687,9.999000099990002e-05,9.999000099990002e-05,True,LOW_NATIVE_VS_RENDERED
C1-C0,negative_control,stage_distance,36,539,1055,-0.11124338624338624,-0.1724867724867725,-0.05370370370370369,0.9444642257814156,OUTCOME_NOT_EQUIVALENT,0.35675182206607603,0.22521724491733006,0.13118594816951507,0.09405116138079529,0.17016349505911663,9.999000099990002e-05,9.999000099990002e-05,True,LOW_NATIVE_VS_RENDERED
C3-C1,auxiliary,tool_argument_distance,36,535,1076,0.024206349206349207,-0.014550264550264555,0.06322751322751323,0.1470582509372156,OUTCOME_EQUIVALENT_PROVISIONAL,0.43732365966254466,0.2962303406554601,0.14184856174875538,0.10813616379974413,0.17759329930251275,9.999000099990002e-05,9.999000099990002e-05,True,HIGH
C3-C1,auxiliary,tool_name_distance,36,535,1076,0.024206349206349207,-0.014550264550264555,0.06322751322751323,0.1470582509372156,OUTCOME_EQUIVALENT_PROVISIONAL,0.3537114352019522,0.23896485293150524,0.11529263082367258,0.0831479465489241,0.15006308542976937,9.999000099990002e-05,9.999000099990002e-05,True,HIGH
C3-C1,auxiliary,stage_distance,36,535,1076,0.024206349206349207,-0.014550264550264555,0.06322751322751323,0.1470582509372156,OUTCOME_EQUIVALENT_PROVISIONAL,0.3546481068259353,0.2328039024540002,0.12216568028082089,0.08622048713187368,0.16124928174778716,9.999000099990002e-05,9.999000099990002e-05,True,HIGH
C2-C3,specificity,tool_argument_distance,36,537,1062,-0.009391534391534392,-0.04841269841269841,0.02937169312169304,0.049334130351863945,OUTCOME_EQUIVALENT_STRONG,0.42461879470585456,0.3124160611864546,0.11142965802276168,0.07494692977769478,0.14944705988752943,9.999000099990002e-05,9.999000099990002e-05,True,COMPOSITE_DIFFERENCE
C2-C3,specificity,tool_name_distance,36,537,1062,-0.009391534391534392,-0.04841269841269841,0.02937169312169304,0.049334130351863945,OUTCOME_EQUIVALENT_STRONG,0.3439573181527653,0.2452902599857769,0.09792784720607417,0.06197372749261876,0.13668428586895423,9.999000099990002e-05,9.999000099990002e-05,True,COMPOSITE_DIFFERENCE
C2-C3,specificity,stage_distance,36,537,1062,-0.009391534391534392,-0.04841269841269841,0.02937169312169304,0.049334130351863945,OUTCOME_EQUIVALENT_STRONG,0.33965504135557006,0.24498830285430645,0.09396774018816194,0.056889776874797085,0.13421052769967484,9.999000099990002e-05,9.999000099990002e-05,True,COMPOSITE_DIFFERENCE
