restriction,metric,n_tasks,n_tn_pairs,n_nn_pairs,tn_mean,nn_mean,effect,ratio,ci_low,ci_high,p,q,loto_min,loto_max,loto_stable,placebo_valid,strong_same_outcome
ALL,tool_argument_distance,36,536,1076,0.404231188234215,0.2962303406554601,0.10870586128312196,1.3645840170854364,0.06753507935462977,0.15124170867070585,9.999000099990002e-05,0.00017498250174982502,0.10049201514291184,0.11501932381307764,True,True,True
ALL,tool_name_distance,36,536,1076,0.3223588688144051,0.23896485293150524,0.08393562786645802,1.3489802573887433,0.04740705362711869,0.12213856457276029,9.999000099990002e-05,0.00017498250174982502,0.07635935040248998,0.08948845938874184,True,True,True
ALL,stage_distance,36,536,1076,0.32256516533046864,0.2328039024540002,0.09013952893743848,1.3855659717482802,0.05265553574713196,0.13013764692763236,9.999000099990002e-05,0.00017498250174982502,0.08191222296150136,0.0950453363208052,True,True,True
ALL,insertion_rate,36,536,1076,0.15646812254095271,0.10460242249410032,0.05238677183047367,1.4958365094247954,0.023895031621705545,0.08113714330528068,0.0010998900109989002,0.0015398460153984602,0.045796441295677476,0.05704204489842394,True,True,True
ALL,deletion_rate,36,536,1076,0.12488864602447819,0.11201274183642806,0.013235556905699738,1.1149503527630167,-0.014431166410599588,0.04212126780487056,0.37596240375962403,0.37596240375962403,0.005841640810522415,0.018928802197220096,True,True,False
ALL,substitution_rate,36,536,1076,0.05286873221384214,0.0321194675061404,0.020472166644898836,1.6460027615257018,0.005442594467828798,0.03847244717181678,0.008599140085991401,0.010032330100323303,0.013898355533165789,0.023563876520115344,True,True,True
ALL,first_divergence_position,36,536,1076,0.5497758306918742,0.6982994929363816,-0.1489558765514603,0.7873066445745813,-0.2019882629927971,-0.09934737301578866,9.999000099990002e-05,0.00017498250174982502,-0.15639191935507998,-0.13846146670263856,False,True,False
BOTH_SUCCESS,tool_argument_distance,11,112,229,0.26788261341832775,0.1800323887660132,0.09938759848256601,1.4879689996586827,0.031887192893686404,0.19058106896936036,0.009999000099990002,0.029957004299570045,0.061787352198066484,0.11667329710633281,True,True,True
BOTH_SUCCESS,tool_name_distance,11,112,229,0.17188297813297812,0.10680825724493848,0.07424031085557059,1.609266760516528,0.021309221712630805,0.1385445054509583,0.020497950204979503,0.029957004299570045,0.05398802520231092,0.08619687290223003,True,True,True
BOTH_SUCCESS,stage_distance,11,112,229,0.1739347458097458,0.10329054739535089,0.07845492740784948,1.683936722147477,0.024741049685043193,0.14292980030581492,0.016198380161983803,0.029957004299570045,0.056928576714291,0.09019192546871119,True,True,True
BOTH_SUCCESS,insertion_rate,11,112,229,0.08199944896373468,0.03962441003925721,0.04462397796407536,2.0694175353650723,0.017899806272371203,0.07543729028306949,0.0093990600939906,0.029957004299570045,0.0325845442586514,0.05137575304986018,True,True,True
BOTH_SUCCESS,deletion_rate,11,112,229,0.0763457276850134,0.0547678910124325,0.02839679800718762,1.3939869926282655,-0.007047072786520835,0.07815469162871759,0.2863713628637136,0.3340999233409992,0.0063807779522065235,0.03572627372627373,True,True,False
BOTH_SUCCESS,substitution_rate,11,112,229,0.01534155328798186,0.015084563665349692,-5.948912198912178e-05,1.0170365963731844,-0.004574071761571762,0.00560151653901654,1.0,1.0,-0.0024921779609279613,0.0013081883394383397,False,True,False
BOTH_SUCCESS,first_divergence_position,11,112,229,0.7419795234527378,0.8568882839625198,-0.14169577431346916,0.8658999514167611,-0.2669579530618491,-0.03271868112046701,0.021397860213978603,0.029957004299570045,-0.16128921359724932,-0.0953483513840657,False,True,False
BOTH_FAILURE,tool_argument_distance,30,370,765,0.42305894954711804,0.3148899667545792,0.11430244092372263,1.343513589548073,0.06426963034994286,0.1684791575791299,0.00019998000199980003,0.00046662000466620004,0.10188226570448414,0.1239349345643772,True,True,True
BOTH_FAILURE,tool_name_distance,30,370,765,0.3483894535926089,0.26470050594641165,0.09547234657157268,1.3161646682426063,0.050190281595640096,0.14399991719490715,9.999000099990002e-05,0.00034996500349965005,0.08240285775398414,0.10376972553019816,True,True,True
BOTH_FAILURE,stage_distance,30,370,765,0.34950345057697113,0.2564445887236805,0.10207519836598082,1.362880972908973,0.056924266033456274,0.15271376909495568,0.00029997000299970003,0.0005249475052494751,0.08923339409302705,0.10962540413045758,True,True,True
BOTH_FAILURE,insertion_rate,30,370,765,0.17368956879777683,0.1183218421799407,0.0664991744799265,1.4679417223206717,0.028649226212568553,0.10688369594978733,0.0011998800119988001,0.0016798320167983201,0.053825134089198035,0.07260424206708899,True,True,True
BOTH_FAILURE,deletion_rate,30,370,765,0.13694026431541576,0.12338121912015557,0.008043298770380097,1.1098955359004488,-0.026661141107843733,0.04380942551102192,0.6661333866613338,0.6661333866613338,-0.001059436452603552,0.014735413496859166,False,True,False
BOTH_FAILURE,substitution_rate,30,370,765,0.05182277271190491,0.034649721121695023,0.02314665149699158,1.4956187534640049,0.006257896963084195,0.04023644703554329,0.0122987701229877,0.01434856514348565,0.018987915341715428,0.026970249099911258,True,True,True
BOTH_FAILURE,first_divergence_position,30,370,765,0.5109463737058311,0.6720645072988763,-0.17721615855003534,0.7602638856192508,-0.2340829945081725,-0.12133901269311248,9.999000099990002e-05,0.00034996500349965005,-0.1871651854509065,-0.16372935941957675,False,True,False
REWARD_DISCORDANT,tool_argument_distance,23,54,82,0.5580232010787566,0.4466537189098166,0.07306738111425612,1.249341889374096,0.014465953028453032,0.130707670512358,0.030896910308969103,0.15748425157484253,0.06171359196359196,0.0846052065218732,True,True,False
REWARD_DISCORDANT,tool_name_distance,23,54,82,0.45609930193263515,0.3679415097098024,0.04434942950567952,1.2395972998326916,-0.014269776447510821,0.10237691525777463,0.1693830616938306,0.3111888811118888,0.030810331643664986,0.0600044708378042,True,True,False
REWARD_DISCORDANT,stage_distance,23,54,82,0.446258525425192,0.3739433330896745,0.041055761368261376,1.193385430188097,-0.021531868738899965,0.10137445815180188,0.22227777222277773,0.3111888811118888,0.029014874014874015,0.05649122482455816,True,True,False
REWARD_DISCORDANT,insertion_rate,23,54,82,0.19292286931175817,0.15807326142691996,-0.006026470635845636,1.2204649133588592,-0.08292518310682372,0.07365255223653658,0.8832116788321168,0.8832116788321168,-0.024823297073297074,0.010238431321764652,False,True,False
REWARD_DISCORDANT,deletion_rate,23,54,82,0.14299435132768468,0.16581988472232373,0.019623591107966108,0.8623474293637226,-0.05906509144790395,0.1079516522973554,0.6617338266173383,0.772022797720228,-0.007273297689964351,0.03426516384849719,False,True,False
REWARD_DISCORDANT,substitution_rate,23,54,82,0.1378696406474184,0.056087137794454865,0.04221064236689236,2.458132935088891,0.005770088346260221,0.08708705407728845,0.044995500449955005,0.15748425157484253,0.025540558207224878,0.04803394445061111,True,True,False
REWARD_DISCORDANT,first_divergence_position,23,54,82,0.4171848213514881,0.5001645035181621,-0.05811329873829872,0.8340952195067941,-0.14453154701201576,0.027114847681253915,0.2181781821817818,0.3111888811118888,-0.08500339167005831,-0.03258580925247591,False,True,False
SAME_REWARD,tool_argument_distance,36,482,994,0.3870013776665692,0.2838211686063079,0.10517986043985152,1.3635395117528528,0.06295247379753204,0.14789036786036783,9.999000099990002e-05,0.00017498250174982502,0.09686527141840512,0.11290042429971182,True,True,True
SAME_REWARD,tool_name_distance,36,482,994,0.3073755007887113,0.22832492752323522,0.08310400871395275,1.3462196358627183,0.04864561326568243,0.11870956985561235,9.999000099990002e-05,0.00017498250174982502,0.07570523546718484,0.0896255987694533,True,True,True
SAME_REWARD,stage_distance,36,482,994,0.3087074029962051,0.22116060938345164,0.09103016674571524,1.3958516566617136,0.05361208325887594,0.13043475332690294,9.999000099990002e-05,0.00017498250174982502,0.0828283075643003,0.0969704791899884,True,True,True
SAME_REWARD,insertion_rate,36,482,994,0.1523839807865471,0.10019134725014538,0.054661082285330925,1.5209295509929976,0.02839307709992205,0.07962014726977563,0.00019998000199980003,0.00027997200279972006,0.04945396710217387,0.0593813356519914,True,True,True
SAME_REWARD,deletion_rate,36,482,994,0.12286020601125588,0.10757392320801414,0.016431638227145277,1.1421002632179071,-0.012764974121472835,0.0460376395798815,0.28847115288471153,0.28847115288471153,0.00912903874115211,0.02221620012784978,True,True,False
SAME_REWARD,substitution_rate,36,482,994,0.04334580886236264,0.03014225526907623,0.013884945794857153,1.4380413301997446,0.0015220672479440106,0.02658396828546215,0.038896110388961104,0.04537879545378795,0.010174515674710217,0.016788449360072472,True,True,True
SAME_REWARD,first_divergence_position,36,482,994,0.5646304250993032,0.7146446329085085,-0.15790910836664399,0.790085588135368,-0.20983728181765537,-0.10836473363830394,9.999000099990002e-05,0.00017498250174982502,-0.16560095779355466,-0.14562443697166844,False,True,False
SAME_FINAL_STATE,tool_argument_distance,36,334,754,0.3444218592712781,0.21085031738778678,0.15016698417337113,1.6334898782145646,0.0915784960999747,0.20975666637699955,9.999000099990002e-05,0.00013998600139986003,0.1369648826571664,0.16141853306319776,True,True,True
SAME_FINAL_STATE,tool_name_distance,36,334,754,0.2626018687651305,0.15721362017013682,0.11814632873159422,1.6703506253525766,0.07130153024479707,0.16632988231007034,9.999000099990002e-05,0.00013998600139986003,0.10854860193630357,0.1281167013853554,True,True,True
SAME_FINAL_STATE,stage_distance,36,334,754,0.26982169777960546,0.15087578801997042,0.1248012402108229,1.7883697664193208,0.0764988868439061,0.17605400048462724,9.999000099990002e-05,0.00013998600139986003,0.11393550305066565,0.13496175319256207,True,True,True
SAME_FINAL_STATE,insertion_rate,36,334,754,0.14051455458817205,0.06202077264870246,0.08706945691335977,2.2656047093136586,0.05689646225933891,0.11834172717171543,9.999000099990002e-05,0.00013998600139986003,0.07924097384827393,0.09240729796427337,True,True,True
SAME_FINAL_STATE,deletion_rate,36,334,754,0.10462267346953856,0.07883165686301731,0.023430147672593653,1.3271657305305316,-0.006360822397644918,0.055787950125526106,0.1598840115988401,0.1695830416958304,0.01416908652653407,0.03008094692286651,True,True,False
SAME_FINAL_STATE,substitution_rate,36,334,754,0.029280436355550835,0.02229076000627725,0.010801108645197323,1.3135683281909294,-0.003031108566894659,0.025889963977083673,0.1695830416958304,0.1695830416958304,0.006381820592883233,0.013999414639048708,True,True,False
SAME_FINAL_STATE,first_divergence_position,36,334,754,0.618777521823929,0.7937328887645866,-0.1945295843413725,0.7795790379645618,-0.2621010135700408,-0.12902277776104887,9.999000099990002e-05,0.00013998600139986003,-0.2033490023935083,-0.18348017192943974,False,True,False
SAME_MUTATION_SIGNATURE,tool_argument_distance,36,313,717,0.33463063953385325,0.19431095210383914,0.15315207351268526,1.7221398789453088,0.09763238534350159,0.21135500664784798,9.999000099990002e-05,0.00017498250174982502,0.14003526026331808,0.1616724678529066,True,True,True
SAME_MUTATION_SIGNATURE,tool_name_distance,36,313,717,0.25274644550532543,0.14292595502600425,0.11625263126590529,1.7683733193130682,0.06955089781236212,0.16469708519984402,0.00019998000199980003,0.00027997200279972006,0.10531020630437908,0.12371875582764721,True,True,True
