data_version,margin,n_tasks,difference,ci90_low,ci90_high,ci95_low,ci95_high,tost_p,classification,smallest_supported_margin,contrast
pooled,0.03,36,0.014814814814814812,-0.014814814814814817,0.0462962962962963,-0.020370370370370375,0.053703703703703705,0.2190143617542259,OUTCOME_EQUIVALENT_PROVISIONAL,,C2-C1
pooled,0.04,36,0.014814814814814812,-0.014814814814814817,0.04629629629629631,-0.02037037037037038,0.053703703703703705,0.10086074473630223,OUTCOME_EQUIVALENT_PROVISIONAL,,C2-C1
pooled,0.05,36,0.014814814814814812,-0.014814814814814817,0.04629629629629631,-0.020370370370370375,0.053703703703703705,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.05,C2-C1
pooled,0.06,36,0.014814814814814812,-0.014814814814814817,0.0462962962962963,-0.020370370370370372,0.053703703703703705,0.012721546402486095,OUTCOME_EQUIVALENT_STRONG,0.05,C2-C1
compound,0.03,17,-0.03921568627450981,-0.0784313725490196,-0.007843137254901962,-0.08627450980392158,-0.00392156862745098,0.6635152596907792,OUTCOME_NOT_EQUIVALENT,,C2-C1
compound,0.04,17,-0.03921568627450981,-0.07450980392156864,-0.007843137254901962,-0.08627450980392158,-0.00392156862745098,0.4856318222456853,OUTCOME_NOT_EQUIVALENT,,C2-C1
compound,0.05,17,-0.03921568627450981,-0.0784313725490196,-0.007843137254901962,-0.08627450980392158,-0.00392156862745098,0.31086469470439687,OUTCOME_NOT_EQUIVALENT,,C2-C1
compound,0.06,17,-0.03921568627450981,-0.07843137254901962,-0.007843137254901962,-0.08627450980392158,-0.00392156862745098,0.17332210915919016,OUTCOME_NOT_EQUIVALENT,,C2-C1
complete_five_cells,0.03,36,0.014814814814814812,-0.014814814814814817,0.0462962962962963,-0.020370370370370375,0.053703703703703705,0.2190143617542259,OUTCOME_EQUIVALENT_PROVISIONAL,,C2-C1
complete_five_cells,0.04,36,0.014814814814814812,-0.014814814814814817,0.04629629629629631,-0.02037037037037038,0.053703703703703705,0.10086074473630223,OUTCOME_EQUIVALENT_PROVISIONAL,,C2-C1
complete_five_cells,0.05,36,0.014814814814814812,-0.014814814814814817,0.04629629629629631,-0.020370370370370375,0.053703703703703705,0.0388372601931407,OUTCOME_EQUIVALENT_STRONG,0.05,C2-C1
complete_five_cells,0.06,36,0.014814814814814812,-0.014814814814814817,0.0462962962962963,-0.020370370370370372,0.053703703703703705,0.012721546402486095,OUTCOME_EQUIVALENT_STRONG,0.05,C2-C1
both_success_episodes,0.03,15,0.0,0.0,0.0,0.0,0.0,0.0,OUTCOME_EQUIVALENT_STRONG,0.03,C2-C1
both_success_episodes,0.04,15,0.0,0.0,0.0,0.0,0.0,0.0,OUTCOME_EQUIVALENT_STRONG,0.03,C2-C1
both_success_episodes,0.05,15,0.0,0.0,0.0,0.0,0.0,0.0,OUTCOME_EQUIVALENT_STRONG,0.03,C2-C1
both_success_episodes,0.06,15,0.0,0.0,0.0,0.0,0.0,0.0,OUTCOME_EQUIVALENT_STRONG,0.03,C2-C1
