model,domain,task_id,task_cluster,task_family,n_c1,n_c2,c1_modal_path,c2_modal_path,modal_path_changed,c1_modal_probability,c2_modal_probability,c1_neutral_modal_adherence,c2_neutral_modal_adherence,c2_own_modal_adherence,c1_unique_paths,c2_unique_paths,c1_entropy,c2_entropy,c1_dispersion,c2_dispersion,new_path_emergence_rate,transition_js_divergence,smoothing_epsilon
gemma4_31b,airline,12,airline:12,single,5,5,"[""get_user_details"",""get_reservation_details"",""get_user_details"",""search_direct_flight"",""search_direct_flight"",""calculate"",""get_reservation_details""]","[""get_reservation_details"",""get_user_details"",""search_direct_flight"",""search_direct_flight"",""calculate"",""get_reservation_details""]",True,0.6,0.6,0.6,0.0,0.6,2,3,0.4181656600790517,0.5904362833084089,0.2,0.2625,1.0,0.09602400147065876,1e-06
gemma4_31b,airline,17,airline:17,compound,5,5,"[""get_user_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details""]","[""get_user_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details""]",False,1.0,0.8,1.0,0.8,0.8,1,2,-0.0,0.31091750708257115,0.0,0.11428571428571428,0.2,0.00035547150318853814,1e-06
gemma4_31b,airline,18,airline:18,compound,5,5,"[""get_user_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""update_reservation_flights"",""update_reservation_flights"",""update_reservation_flights"",""update_reservation_flights"",""update_reservation_flights""]","[""get_user_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""update_reservation_flights"",""update_reservation_flights"",""update_reservation_flights"",""update_reservation_flights"",""update_reservation_flights""]",False,1.0,1.0,1.0,1.0,1.0,1,1,-0.0,-0.0,0.0,0.0,0.0,0.0,1e-06
gemma4_31b,airline,2,airline:2,read,5,5,"[""search_direct_flight"",""search_onestop_flight"",""list_all_airports"",""search_direct_flight"",""search_onestop_flight"",""search_direct_flight"",""search_onestop_flight"",""get_user_details"",""get_reservation_details"",""get_flight_status"",""get_flight_status""]","[""list_all_airports"",""search_direct_flight"",""search_onestop_flight"",""get_user_details"",""get_reservation_details""]",True,1.0,0.4,1.0,0.0,0.4,1,3,-0.0,0.6554587535412857,0.0,0.18095238095238095,1.0,0.1438905195098256,1e-06
gemma4_31b,airline,22,airline:22,compound,5,5,"[""get_user_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_user_details""]","[""get_user_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_user_details""]",False,1.0,0.8,1.0,0.8,0.8,1,2,-0.0,0.31091750708257115,0.0,0.21538461538461537,0.2,0.07046814319280759,1e-06
gemma4_31b,airline,23,airline:23,compound,5,5,"[""get_user_details"",""get_user_details"",""calculate"",""calculate"",""get_reservation_details"",""search_direct_flight"",""search_direct_flight"",""search_direct_flight"",""calculate"",""calculate"",""calculate"",""calculate"",""calculate"",""calculate"",""calculate"",""update_reservation_flights""]","[""get_user_details"",""get_user_details"",""calculate"",""calculate"",""get_reservation_details"",""search_direct_flight"",""search_direct_flight"",""search_direct_flight"",""calculate"",""calculate"",""calculate"",""calculate"",""calculate"",""cancel_reservation"",""book_reservation"",""book_reservation"",""book_reservation"",""book_reservation"",""book_reservation"",""book_reservation"",""book_reservation"",""book_reservation"",""book_reservation""]",True,0.8,1.0,0.8,0.0,1.0,2,1,0.31091750708257115,-0.0,0.075,0.0,1.0,0.20547166498770714,1e-06
gemma4_31b,airline,30,airline:30,single,5,5,"[""get_reservation_details"",""search_direct_flight"",""get_user_details"",""update_reservation_flights""]","[""get_reservation_details"",""search_direct_flight"",""search_direct_flight"",""search_direct_flight""]",True,1.0,1.0,1.0,0.0,1.0,1,1,-0.0,-0.0,0.0,0.0,1.0,0.4620964701772295,1e-06
gemma4_31b,airline,32,airline:32,compound,5,5,"[""get_user_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""search_direct_flight"",""search_direct_flight"",""calculate"",""transfer_to_human_agents""]","[""get_user_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""search_direct_flight"",""update_reservation_flights""]",True,0.8,1.0,0.8,0.0,1.0,2,1,0.31091750708257115,-0.0,0.13333333333333333,0.0,1.0,0.16869163962096845,1e-06
gemma4_31b,airline,33,airline:33,compound,5,5,"[""get_reservation_details"",""search_direct_flight"",""search_direct_flight"",""get_user_details"",""calculate"",""calculate"",""update_reservation_flights"",""get_user_details"",""calculate"",""calculate"",""calculate""]","[""get_reservation_details"",""search_direct_flight"",""search_direct_flight"",""get_user_details"",""update_reservation_flights""]",True,0.6,0.8,0.6,0.0,0.8,3,2,0.5904362833084089,0.31091750708257115,0.14423076923076925,0.2571428571428572,1.0,0.23002462953816083,1e-06
gemma4_31b,airline,37,airline:37,single,5,5,"[""get_user_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details""]","[""get_user_details"",""get_reservation_details"",""get_reservation_details"",""get_reservation_details"",""search_direct_flight"",""search_direct_flight"",""calculate""]",True,1.0,1.0,1.0,0.0,1.0,1,1,-0.0,-0.0,0.0,0.0,1.0,0.21576003086077494,1e-06
