subset,metric,n_tasks,n_tn_pairs,n_nn_pairs,raw_c2_c1_difference,nn_signed_difference,nn_adjusted_difference,ci_low,ci_high,p,q,loto_min,loto_max,coverage_tn,coverage_nn,interpretation
ALL,duplicate_calls,36,536,1076,0.009854497354497359,-0.039962825278810406,0.0518060643060643,-0.12361111111111112,0.23597489316239317,0.5968403159684031,0.8681313686813137,0.003762428048142326,0.10281004709576139,536,1076,count/exposure metric
ALL,verification_calls,36,536,1076,-0.025992063492063497,-0.0037174721189591076,-0.022288359788359784,-0.19538359788359788,0.14623015873015874,0.808019198080192,0.9872155641578699,-0.06673469387755103,0.02850340136054422,536,1076,count/exposure metric
ALL,confirmation_calls,36,536,1076,0.5705026455026455,0.0604089219330855,0.5104599104599105,0.2005494505494506,0.8413064713064711,0.004399560043995601,0.07039296070392961,0.43742543171114606,0.5650444793301936,536,1076,count/exposure metric
ALL,write_calls,36,536,1076,0.09854497354497355,0.024163568773234202,0.07475579975579978,-0.11783679283679281,0.2939682539682539,0.5126487351264873,0.8681313686813137,0.006415489272632143,0.10355834641548929,536,1076,count/exposure metric
ALL,executed_writes,36,536,1076,0.06653439153439153,0.0362453531598513,0.03056573056573057,-0.12037037037037036,0.1962962962962963,0.722027797220278,0.9627037296270373,-0.01808477237048666,0.05810570381998953,536,1076,count/exposure metric
ALL,distinct_entities,36,536,1076,0.3055555555555556,-0.07713754646840149,0.381980056980057,0.003682336182336207,0.7462962962962963,0.0537946205379462,0.2151784821517848,0.309084249084249,0.44622710622710615,536,1076,count/exposure metric
ALL,pre_confirmation_actions,36,536,1076,-0.02678571428571432,-0.19888475836431227,0.17307183557183553,-0.3861130189255189,0.7041763329263327,0.551944805519448,0.8681313686813137,0.05992150706436416,0.29039769754055467,536,1076,count/exposure metric
ALL,post_completion_calls,36,536,1076,-0.014814814814814817,0.016728624535315983,-0.03148148148148148,-0.09074074074074073,0.012962962962962963,0.33236676332366766,0.6787321267873213,-0.0380952380952381,-0.009523809523809525,536,1076,count/exposure metric
ALL,retry_calls,36,536,1076,0.11977513227513227,-0.022304832713754646,0.1442765567765568,-0.13350859788359792,0.43329263329263323,0.33936606339366066,0.6787321267873213,0.07982731554160125,0.20173207744636312,536,1076,count/exposure metric
BOTH_SUCCESS,duplicate_calls,11,112,229,0.10086580086580087,0.021834061135371178,0.08395543850089304,-0.024242424242424242,0.22176308539944903,0.3076692330766923,0.5015498450154985,0.033260073260073256,0.10568431568431569,112,229,count/exposure metric
