pair_type,both_success,domain,task_family,first_divergent_stage_a,first_divergent_stage_b,timing_bucket,n_pairs
C1_C1,False,airline,compound,<END>,<END>,late,101
C1_C1,False,airline,compound,<END>,communication_only,late,8
C1_C1,False,airline,compound,<END>,communication_only,middle,2
C1_C1,False,airline,compound,<END>,entity_lookup,late,3
C1_C1,False,airline,compound,<END>,entity_lookup,middle,2
C1_C1,False,airline,compound,<END>,recovery_retry,late,3
C1_C1,False,airline,compound,<END>,recovery_retry,middle,1
C1_C1,False,airline,compound,<END>,retrieval_search,early,1
C1_C1,False,airline,compound,<END>,retrieval_search,late,1
C1_C1,False,airline,compound,<END>,retrieval_search,middle,3
C1_C1,False,airline,compound,<END>,write_mutation,late,3
C1_C1,False,airline,compound,<END>,write_mutation,middle,2
C1_C1,False,airline,compound,communication_only,<END>,late,4
C1_C1,False,airline,compound,communication_only,communication_only,middle,5
C1_C1,False,airline,compound,communication_only,entity_lookup,early,5
C1_C1,False,airline,compound,communication_only,entity_lookup,middle,1
C1_C1,False,airline,compound,communication_only,retrieval_search,early,3
C1_C1,False,airline,compound,communication_only,retrieval_search,late,5
C1_C1,False,airline,compound,communication_only,retrieval_search,middle,2
C1_C1,False,airline,compound,communication_only,write_mutation,early,1
C1_C1,False,airline,compound,communication_only,write_mutation,middle,1
C1_C1,False,airline,compound,entity_lookup,<END>,late,1
C1_C1,False,airline,compound,entity_lookup,<END>,middle,3
C1_C1,False,airline,compound,entity_lookup,communication_only,early,10
C1_C1,False,airline,compound,entity_lookup,communication_only,late,1
C1_C1,False,airline,compound,entity_lookup,communication_only,middle,3
C1_C1,False,airline,compound,entity_lookup,retrieval_search,early,9
C1_C1,False,airline,compound,entity_lookup,write_mutation,early,2
C1_C1,False,airline,compound,post_write_verification,post_write_verification,middle,4
C1_C1,False,airline,compound,recovery_retry,<END>,late,5
C1_C1,False,airline,compound,recovery_retry,communication_only,middle,1
C1_C1,False,airline,compound,recovery_retry,entity_lookup,early,4
C1_C1,False,airline,compound,recovery_retry,post_write_verification,middle,3
C1_C1,False,airline,compound,recovery_retry,recovery_retry,middle,4
C1_C1,False,airline,compound,recovery_retry,retrieval_search,early,4
C1_C1,False,airline,compound,recovery_retry,retrieval_search,middle,5
C1_C1,False,airline,compound,retrieval_search,<END>,early,5
C1_C1,False,airline,compound,retrieval_search,<END>,middle,6
C1_C1,False,airline,compound,retrieval_search,communication_only,early,5
