model,family,condition,n,success_rate,zero_clar_rate,mean_clar,mean_reads_bw,mean_first_write,mean_tools,mean_vd,mean_ve
qwen25_72b,compression,C0,120,0.25,0.2333,1.9167,2.55,2.6316,9.4917,1.6184,
qwen25_72b,compression,C1,117,0.3846,0.2308,1.7265,2.2051,2.2632,10.0684,1.4013,
qwen25_72b,compression,C2,117,0.4444,0.1026,2.1795,2.7863,2.8376,8.6239,1.8739,
qwen25_72b,compression,C3,117,0.3077,0.2051,1.6068,2.4359,2.5128,9.8547,1.4615,
qwen25_72b,compression,C4,117,0.3504,0.3333,1.2222,2.3846,2.4872,9.5641,1.4551,
qwen25_72b,compression,C5,114,0.3333,0.3684,0.8947,2.7281,2.7778,10.5526,1.7593,
qwen25_72b,inflation,C0,117,0.4103,0.1966,1.7094,2.3932,2.3063,7.7436,,1.7457
qwen25_72b,inflation,C1,114,0.5351,0.2368,1.3333,2.3509,2.4144,8.0789,,1.8355
qwen25_72b,inflation,C2,114,0.5526,0.2895,1.4825,2.4386,2.4505,8.2193,,1.864
qwen25_72b,inflation,C3,114,0.5526,0.2895,1.3947,2.5,2.6486,8.1228,,1.8224
qwen25_72b,inflation,C4,114,0.4298,0.2895,1.6667,2.6754,2.8288,7.9035,,1.818
qwen25_72b,inflation,C5,114,0.3772,0.3684,1.3509,5.3509,5.5566,15.6667,,4.832
