task_id,task_type,clar_C0,clar_C1,clar_C2,clar_C3,clar_C4,clar_C5,vd_C0,vd_C1,vd_C2,vd_C3,vd_C4,vd_C5,ve_C0,ve_C1,ve_C2,ve_C3,ve_C4,ve_C5,success_C0,success_C1,success_C2,success_C3,success_C4,success_C5
add_reminder_content_and_date_and_time_multiple_user_turn_10_distraction_tools,other,0,0,0,0,0,0,1.0,,,1.0,,1.0,,,,,,,1,0,0,0.6,0,0
add_reminder_content_and_date_and_time_multiple_user_turn_3_distraction_tools,other,0,0,0,0,0,0,1.0,,,,1.0,,,,,,,,1,0,0,0,1,0
add_reminder_content_and_weekday_delta_and_time_multiple_user_turn_alt_3_distraction_tools,other,0,0,0,0,0,0,1.25,,,,0.25,1.0,,,,,,,1,0,0,0,0,1
find_days_till_holiday_multiple_user_turn_3_distraction_tools,other,0,0,0,0,0,0,,,,,,,0.4,0.2667,0.4,0.3333,0.6,0.6,0,0,0,0,0,0
modify_contact_with_message_recency_multiple_user_turn,other,0,0,0,0,0,0,,,,,,,0.32,0.4,0.4,0.44,0.36,0.45,0,0,1,0.2,0,0.25
modify_contact_with_message_recency_multiple_user_turn_alt,other,0,0,0,0,0,0,1.0,1.0,,,1.0,1.0,,,,,,,0.4,0.8,0,0.2,0.4,0.8
multi_turn_base_0,base,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1,1,0,0,1,1
multi_turn_base_14,base,0,0,0,0,0,0,,,,,,,1.25,1.25,1.25,1.25,1.25,3.5,1,1,1,1,1,1
multi_turn_base_15,base,0,0,0,0,0,0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
multi_turn_base_2,base,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,0.2,1,1,1,0,1
multi_turn_base_22,base,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.5,,,,,,,1,1,1,1,1,1
multi_turn_base_23,base,0,0,0,0,0,0,1.0,1.0,1.0,0.0,1.0,2.0,,,,,,,1,1,1,1,1,1
multi_turn_base_25,base,0,0,0,0,0,0,,,,,,,1.0,1.0,1.0,1.0,1.0,4.5,0,0,0,0,0,1
multi_turn_base_27,base,0,0,0,0,0,0,,,,,,,5.0,6.0,5.0,4.0,4.0,8.0,1,1,1,1,1,1
multi_turn_base_28,base,0,0,0,0,0,0,,,,,,,1.25,1.25,1.25,1.25,1.75,3.25,0,0,0,0,0,0
multi_turn_base_29,base,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,0,0,0
multi_turn_base_36,base,0,0,0,0,0,,3.0,3.0,3.0,4.0,3.0,,,,,,,,1,1,1,0,0,
multi_turn_base_37,base,0,1,1,0,0,0,,,,,,,5.5,6.0,7.5,5.0,6.0,7.0,0,0,0,0,0,0
multi_turn_base_40,base,0,0,0,0,0,0,,,,,,,1.0,1.0,1.0,1.0,1.0,2.3333,1,1,1,1,1,1
multi_turn_base_48,base,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.25,,,,,,,1,1,1,1,1,1
multi_turn_base_5,base,0,0,0,0,0,0,3.6,4.0,4.0,3.0,3.4,3.0,,,,,,,1,1,1,1,1,1
multi_turn_base_62,base,1,1,1,1,1,1,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,,,,,,,1,1,1,1,1,1
multi_turn_base_68,base,0.4,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,1,1,0
multi_turn_base_73,base,0,0,0,0,0,0,,,,,,,5.0,5.0,5.0,5.0,5.0,19.0,1,1,1,1,1,1
multi_turn_base_79,base,0,2,2,2,0,2,,,,,,,2.0,2.0,2.0,2.0,2.0,11.0,1,0,0,0,1,0
multi_turn_base_9,base,0,,,,,,,,,,,,4.6667,,,,,,0,,,,,
remove_contact_by_phone_multiple_user_turn,other,0,0,0,0,0,0,,,,,,,1.0,1.0,0.6,1.0,1.0,0.0,1,1,0.6,1,1,0
search_message_with_recency_oldest_multiple_user_turn_3_distraction_tools,other,0,0,0,0,0,0,,,,,,,0.6,0.5,0.55,0.05,0.5,0.0,0.8,0.8,1,0,0.8,0
send_message_with_contact_content_cellular_off_multiple_user_turn_10_distraction_tools,other,0,0,0,0,0,0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.2,1,1,1,1,0.8,0.2
send_message_with_contact_content_cellular_off_multiple_user_turn_alt_10_distraction_tools,other,0,0,0,0,0,0,1.0,,,,,2.0,,,,,,,1,0,0,0,0,1
