task_id,task_type,clar_C0,clar_C1,clar_C2,clar_C3,clar_C4,clar_C5,vd_C0,vd_C1,vd_C2,vd_C3,vd_C4,vd_C5,ve_C0,ve_C1,ve_C2,ve_C3,ve_C4,ve_C5,success_C0,success_C1,success_C2,success_C3,success_C4,success_C5
multi_turn_base_0,base,2,1.3333,1,2,0,1,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0,0,0,0,0,0
multi_turn_base_108,base,1,1,1,1,1,0,,,,,,,1.0,0.75,1.0,1.0,1.0,3.0,1,0,1,1,1,1
multi_turn_base_110,base,0.6667,1,2,1,0,2,1.5,1.0,1.0,1.0,1.0,3.0,,,,,,,1,0,1,0,1,0
multi_turn_base_114,base,3,0,3.3333,2,1,0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,0,1,0,0,0,1
multi_turn_base_119,base,2,1,0,1,3,0,,,,,,,1.0,2.0,1.5,1.5,1.5,4.5,0,1,1,1,1,1
multi_turn_base_12,base,0,0,0,0,0,3,,,,,,,1.0,1.0,1.0,1.0,1.0,3.1667,1,1,1,1,1,1
multi_turn_base_123,base,1,0,0,0,1,0,,,,,,,1.0,1.0,1.0,1.3333,1.3333,5.3333,0,1,1,1,1,1
multi_turn_base_124,base,0,0,0,0,0,0,,,,,,,1.5,1.5,1.5,1.5,1.5,3.0,1,1,1,1,1,1
multi_turn_base_126,base,1,0,2,1,0,0,1.0,1.0,1.5,1.5,1.0,1.5,,,,,,,0,0,1,1,0,1
multi_turn_base_131,base,5,1,2,1,2,2,,,,,,,1.5,1.4167,1.5,1.75,1.5,6.75,0,1,0,0,0,0
multi_turn_base_143,base,0,0,3,0,0,1,2.5,2.5,1.5,2.5,2.5,3.0,,,,,,,1,0,0,0,0,0
multi_turn_base_154,base,4,5,5,3,4,2,,,,,,,1.0,1.0,1.0,1.0,1.0,1.2,1,1,1,1,1,0.6667
multi_turn_base_156,base,3,3,1.6667,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,1,1
multi_turn_base_158,base,2,2,2,0,0,0,,,1.0,1.5,1.5,1.0,,,,,,,0,0,1,1,1,1
multi_turn_base_159,base,1,0,1,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,0,1,1
multi_turn_base_162,base,0,0,0,0,0,1,0.75,0.75,0.75,0.75,0.75,1.0,,,,,,,0,0,0,0,0,0
multi_turn_base_165,base,0,1,1,1,0,3,1.0,1.0,1.5,1.0,1.5,,,,,,,,1,1,1,1,1,0
multi_turn_base_174,base,1,3,0,0,0,0,,,,,,,1.25,1.75,1.75,2.25,2.25,4.0,0,0,1,0,0,1
multi_turn_base_184,base,1,0,0,0,0,1,,,,,,,1.0,1.0,1.3333,1.3333,1.3333,4.6667,1,1,1,1,1,0
multi_turn_base_185,base,0,3,2,1,1,0,0.6667,0.6667,0.6667,0.6667,0.6667,0.0,,,,,,,0,0,0,0,0,0
multi_turn_base_187,base,2,2,1,2,2,1,,,,,,,0.5,1.0,2.0,0.5,0.5,5.0,0,0,0,0,0,0
multi_turn_base_191,base,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,1,1,1
multi_turn_base_27,base,1,1,1,1,1,0,,,,,,,1.0,1.0,1.0,1.0,1.0,7.0,0,0,0,0,0,0
multi_turn_base_28,base,3,3,3,3,1.6667,0,1.25,1.25,1.25,1.25,1.25,1.25,,,,,,,0,1,1,0,0.6667,0
multi_turn_base_5,base,0,0,0,0,0,0,,,,,,,2.25,2.5,2.75,2.5,2.5833,4.5,1,1,1,1,0.3333,0
multi_turn_base_51,base,0,0,0,0,0,0,,,,,,,3.0,3.0,3.0,3.0,3.0,10.6667,1,1,1,1,1,0.3333
multi_turn_base_52,base,0.6667,0,0,0,0,1,,,,,,,3.5,3.5,2.5,2.5,2.5,4.0,0.3333,1,1,1,0,0.3333
multi_turn_base_58,base,2,2,3,0,2,1,0.5,0.5,1.0,1.25,0.5,0.5,,,,,,,0,0,0,0,0,0
multi_turn_base_60,base,0,0,0,1,2,1,,,,,,,3.0,3.0,3.5,3.5,3.5,8.0,0,0,0,0,0,0
multi_turn_base_7,base,0,0,0,0,0,0,,,,,,,1.3333,1.6667,1.6667,1.6667,1.6667,5.6667,0,1,1,1,1,1
multi_turn_base_71,base,3,3,2,2,2,0,,,,,,,1.5,2.0,3.25,1.75,2.5,5.5,0,0,0,0,0,1
multi_turn_base_72,base,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.6667,,,,,,,0,0,0,0,0,0
multi_turn_base_73,base,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1,1,1,1,1,1
multi_turn_base_81,base,0,0,3,1.3333,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,0,0,0,0
multi_turn_miss_param_103,miss_param,1,1,1,1,1,1,1.6667,1.6667,1.3333,1.3333,1.6667,1.6667,,,,,,,0,0,0.6667,0,0,0.6667
multi_turn_miss_param_105,miss_param,2,1,3,1,1,1,,1.5,1.5,1.5,1.5,,,,,,,,0,1,1,1,1,0
multi_turn_miss_param_111,miss_param,3,3,3,3,3,3,,,,,,,2.0,2.0,2.0,2.3333,2.3333,5.6667,1,1,1,1,1,0
multi_turn_miss_param_116,miss_param,1,1,7,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,1,1,1
multi_turn_miss_param_117,miss_param,2,2,2,2,4,2,,,,,,,2.0,2.0,2.0,2.0,1.6667,5.0,0,0,0,0,0,0
multi_turn_miss_param_12,miss_param,1,1,1,1,0,4,,,,,,,1.0,1.0,1.0,1.5,1.5,5.3333,1,1,1,1,1,1
multi_turn_miss_param_120,miss_param,1,1,1,1,1,1,1.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1,1,1,1,1,1
multi_turn_miss_param_123,miss_param,1,1,1,2,2,1,,,,,,,1.3333,1.3333,1.0,1.3333,1.0,4.6667,1,1,1,1,1,1
multi_turn_miss_param_124,miss_param,1,1,2,1,3,1,,,,,,,1.5,2.0,1.0,1.0,1.5,2.5,1,1,0,1,0,1
multi_turn_miss_param_128,miss_param,1,1.3333,1,1,1,1,,,,,,,1.5,0.8333,1.25,1.25,1.5,1.0,1,0.3333,1,1,1,0
multi_turn_miss_param_131,miss_param,6,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,1,1,0,0,0
multi_turn_miss_param_134,miss_param,2,2,2,1,1,2,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,0,0,0.3333,1,1,0
