model,family,condition,n,success_rate,zero_clar_rate,mean_clar,mean_reads_bw,mean_first_write,mean_tools,mean_vd,mean_ve
gemma4_31b,compression,C0,50,0.82,0.86,0.14,2.46,2.46,9.3,1.5433,
gemma4_31b,compression,C1,50,0.9,0.9,0.1,2.5,2.5,10.3,1.5833,
gemma4_31b,compression,C2,50,0.8,0.9,0.1,2.5,2.5,10.6,1.5833,
gemma4_31b,compression,C3,50,0.7,0.9,0.1,2.4,2.4,10.6,1.4833,
gemma4_31b,compression,C4,50,0.7,0.9,0.1,2.44,2.44,10.16,1.5233,
gemma4_31b,compression,C5,45,0.7778,0.8889,0.1111,2.6667,2.6667,9.6667,1.6759,
gemma4_31b,inflation,C0,50,0.6,1,0,3.6,3.6,9.3,,2.7667
gemma4_31b,inflation,C1,45,0.5556,0.7778,0.3333,3.4444,3.4444,7.8889,,2.7222
gemma4_31b,inflation,C2,45,0.5556,0.7778,0.3333,3.6667,3.6667,8.1111,,2.7778
gemma4_31b,inflation,C3,45,0.5556,0.8889,0.2222,3,3,7.4444,,2.3889
gemma4_31b,inflation,C4,45,0.6667,1,0,3.4444,3.4444,8.3333,,2.5556
gemma4_31b,inflation,C5,45,0.6667,0.8889,0.2222,6.4444,6.4444,14.7778,,6.6204
mistral_small_3p2,compression,C0,25,0.88,1,0,1.44,1.3571,2.2,1.0357,
mistral_small_3p2,compression,C1,25,0.16,1,0,0.4,2,0.48,1.0,
mistral_small_3p2,compression,C2,25,0,1,0,0.44,nan,0.44,nan,
mistral_small_3p2,compression,C3,25,0.16,1,0,0.64,1,0.68,1.0,
mistral_small_3p2,compression,C4,25,0.28,1,0,0.84,0.9,1.24,0.7,
mistral_small_3p2,compression,C5,21,0.4762,1,0,1.7619,1.5833,2.5714,1.4167,
mistral_small_3p2,inflation,C0,25,0.56,1,0,1.44,1,1.88,,0.664
mistral_small_3p2,inflation,C1,25,0.56,1,0,1.36,1,1.76,,0.6333
mistral_small_3p2,inflation,C2,25,0.72,1,0,1.4,1.3846,1.92,,0.59
mistral_small_3p2,inflation,C3,25,0.44,1,0,1.08,1.3333,1.44,,0.5647
mistral_small_3p2,inflation,C4,25,0.52,1,0,1.52,1.125,1.96,,0.692
mistral_small_3p2,inflation,C5,24,0.0833,1,0,1,2,1.0833,,0.45
