subset,condition,n,zero_clar,asked,wrote,early_write,zero_and_write,zero_and_early,zero_and_success,success
ALL,C0,237,0.2152,0.7848,0.9494,0.0959,0.2152,0.0274,0.1266,0.3291
ALL,C1,231,0.2338,0.7662,0.974,0.0089,0.2338,0,0.1688,0.4589
ALL,C2,231,0.1948,0.8052,0.987,0.12,0.1948,0.04,0.1558,0.4978
ALL,C3,231,0.2468,0.7532,0.987,0.08,0.2468,0.0267,0.1558,0.4286
ALL,C4,231,0.3117,0.6883,0.987,0.0711,0.3117,0.0178,0.1732,0.3896
ALL,C5,228,0.3684,0.6316,0.9386,0.0711,0.3684,0.0284,0.2018,0.3553
compression(urgency),C0,120,0.2333,0.7667,0.95,0.0541,0.2333,0.027,0.1417,0.25
compression(urgency),C1,117,0.2308,0.7692,0.9744,0,0.2308,0,0.1282,0.3846
compression(urgency),C2,117,0.1026,0.8974,1,0.0526,0.1026,0,0.0513,0.4444
compression(urgency),C3,117,0.2051,0.7949,1,0.0526,0.2051,0.0263,0.1026,0.3077
compression(urgency),C4,117,0.3333,0.6667,1,0.0351,0.3333,0.0088,0.1795,0.3504
compression(urgency),C5,114,0.3684,0.6316,0.9474,0.0857,0.3684,0.0286,0.2105,0.3333
inflation(skepticism),C0,117,0.1966,0.8034,0.9487,0.1389,0.1966,0.0278,0.1111,0.4103
inflation(skepticism),C1,114,0.2368,0.7632,0.9737,0.018,0.2368,0,0.2105,0.5351
inflation(skepticism),C2,114,0.2895,0.7105,0.9737,0.1892,0.2895,0.0811,0.2632,0.5526
inflation(skepticism),C3,114,0.2895,0.7105,0.9737,0.1081,0.2895,0.027,0.2105,0.5526
inflation(skepticism),C4,114,0.2895,0.7105,0.9737,0.1081,0.2895,0.027,0.1667,0.4298
inflation(skepticism),C5,114,0.3684,0.6316,0.9298,0.0566,0.3684,0.0283,0.193,0.3772
miss_param,C0,135,0.0593,0.9407,0.9333,0.1,0.0593,0.025,0,0.2593
miss_param,C1,129,0.0233,0.9767,0.9767,0.0159,0.0233,0,0,0.4031
miss_param,C2,129,0.0233,0.9767,0.9767,0.119,0.0233,0,0,0.4264
miss_param,C3,129,0.0698,0.9302,0.9767,0.0952,0.0698,0.0238,0,0.3721
miss_param,C4,129,0.1163,0.8837,0.9767,0.0794,0.1163,0.0079,0.0233,0.3023
miss_param,C5,126,0.2143,0.7857,0.9127,0.0783,0.2143,0,0.0238,0.254
base,C0,102,0.4216,0.5784,0.9706,0.0909,0.4216,0.0303,0.2941,0.4216
base,C1,102,0.5,0.5,0.9706,0,0.5,0,0.3824,0.5294
base,C2,102,0.4118,0.5882,1,0.1212,0.4118,0.0909,0.3529,0.5882
base,C3,102,0.4706,0.5294,1,0.0606,0.4706,0.0303,0.3529,0.5
base,C4,102,0.5588,0.4412,1,0.0606,0.5588,0.0303,0.3627,0.5
base,C5,102,0.5588,0.4412,0.9706,0.0625,0.5588,0.0625,0.4216,0.4804
headroom_LOW,C0,75,0.5333,0.4667,1,0.08,0.5333,0.08,0.3733,0.5333
headroom_LOW,C1,75,0.72,0.28,1,0,0.72,0,0.52,0.68
headroom_LOW,C2,75,0.52,0.48,1,0.12,0.52,0.04,0.4,0.6667
headroom_LOW,C3,75,0.52,0.48,1,0.12,0.52,0.08,0.4,0.56
headroom_LOW,C4,75,0.64,0.36,1,0.0533,0.64,0.0533,0.3733,0.4933
headroom_LOW,C5,72,0.4583,0.5417,0.9583,0.0435,0.4583,0.0435,0.3472,0.5139
headroom_MID,C0,78,0.0513,0.9487,0.9231,0.1667,0.0513,0,0.0256,0.3846
headroom_MID,C1,78,0,1,0.9615,0.0267,0,0,0,0.5513
headroom_MID,C2,78,0.0385,0.9615,1,0.12,0.0385,0.04,0.0385,0.6154
headroom_MID,C3,78,0.1154,0.8846,1,0.08,0.1154,0,0.0385,0.5385
headroom_MID,C4,78,0.2308,0.7692,1,0.12,0.2308,0,0.1154,0.4615
headroom_MID,C5,78,0.3077,0.6923,0.9231,0.087,0.3077,0,0.1538,0.3846
headroom_HIGH,C0,78,0.0513,0.9487,0.9231,0.0417,0.0513,0,0,0.1026
headroom_HIGH,C1,78,0,1,0.9615,0,0,0,0,0.1538
headroom_HIGH,C2,78,0.0385,0.9615,0.9615,0.12,0.0385,0.04,0.0385,0.2179
headroom_HIGH,C3,78,0.1154,0.8846,0.9615,0.04,0.1154,0,0.0385,0.1923
headroom_HIGH,C4,78,0.0769,0.9231,0.9615,0.04,0.0769,0,0.0385,0.2179
headroom_HIGH,C5,78,0.3462,0.6538,0.9359,0.0822,0.3462,0.0411,0.1154,0.1795
