task_id,model,baseline_clarification,headroom_group,clarification_C1,clarification_C3,clarification_C4,clarification_C5,delta_C4_C1,delta_C5_C1,N_repeats
multi_turn_miss_param_36,qwen25_72b,1,LOW,1,1,1,,0,,3
multi_turn_base_165,qwen25_72b,1,LOW,1,1,0,3,-1,2,3
multi_turn_miss_param_2,qwen25_72b,6,HIGH,6,6,2,2,-4,-4,3
multi_turn_base_191,qwen25_72b,0,LOW,0,0,0,0,0,0,3
multi_turn_miss_param_164,qwen25_72b,2,MID,2,5,4,3,2,1,3
multi_turn_base_72,qwen25_72b,1,LOW,1,1,1,1,0,0,3
multi_turn_miss_param_116,qwen25_72b,1,LOW,1,1,1,1,0,0,3
multi_turn_base_73,qwen25_72b,0,LOW,0,0,0,0,0,0,3
multi_turn_miss_param_24,qwen25_72b,1,MID,1,1,0,1,-1,0,3
multi_turn_miss_param_5,qwen25_72b,0,LOW,0,0,0,0,0,0,3
multi_turn_miss_param_103,qwen25_72b,1,MID,1,1,1,1,0,0,3
multi_turn_miss_param_185,qwen25_72b,2,MID,2,2,2,1,0,-1,3
multi_turn_miss_param_156,qwen25_72b,6,HIGH,6,4,6,2,0,-4,3
multi_turn_miss_param_173,qwen25_72b,4,HIGH,4,5,1,1,-3,-3,3
multi_turn_base_162,qwen25_72b,0,LOW,0,0,0,1,0,1,3
multi_turn_base_143,qwen25_72b,0,LOW,0,0,0,1,0,1,3
multi_turn_base_156,qwen25_72b,3,HIGH,3,0,0,0,-3,-3,3
multi_turn_miss_param_90,qwen25_72b,2,MID,2,2,2,0,0,-2,3
multi_turn_base_28,qwen25_72b,3,HIGH,3,3,1.667,0,-1.333,-3,3
multi_turn_base_81,qwen25_72b,0,LOW,0,1.333,1,1,1,1,3
multi_turn_miss_param_89,qwen25_72b,3,HIGH,3,2,2,0,-1,-3,3
multi_turn_base_158,qwen25_72b,2,MID,2,0,0,0,-2,-2,3
multi_turn_base_126,qwen25_72b,0,LOW,0,1,0,0,0,0,3
multi_turn_base_159,qwen25_72b,0,LOW,0,3,0,0,0,0,3
multi_turn_miss_param_181,qwen25_72b,4,HIGH,4,3,3,0,-1,-4,3
multi_turn_miss_param_19,qwen25_72b,3,HIGH,3,1,3,1,0,-2,3
multi_turn_base_185,qwen25_72b,3,HIGH,3,1,1,0,-2,-3,3
multi_turn_miss_param_184,qwen25_72b,1,MID,1,1,1,1,0,0,3
multi_turn_miss_param_120,qwen25_72b,1,MID,1,1,1,1,0,0,3
multi_turn_miss_param_131,qwen25_72b,2,MID,2,2,2,2,0,0,3
multi_turn_miss_param_25,qwen25_72b,2,HIGH,2,1,1,1,-1,-1,3
multi_turn_miss_param_94,qwen25_72b,1,MID,1,1,1,0,0,-1,3
multi_turn_miss_param_134,qwen25_72b,2,HIGH,2,1,1,2,-1,0,3
multi_turn_base_0,qwen25_72b,1.333,MID,1.333,2,0,1,-1.333,-0.333,3
multi_turn_miss_param_105,qwen25_72b,1,MID,1,1,1,1,0,0,3
multi_turn_base_114,qwen25_72b,0,LOW,0,2,1,0,1,0,3
multi_turn_base_110,qwen25_72b,1,MID,1,1,0,2,-1,1,3
multi_turn_base_58,qwen25_72b,2,HIGH,2,0,2,1,0,-1,3
multi_turn_miss_param_180,qwen25_72b,4,HIGH,4,4.333,4,2,0,-2,3
