headroom_group,contrast,metric,est,ci_low,ci_high,p,n_tasks,same_dir,n_ep_treat,n_ep_base
LOW,C3-C1,clarification,0.5641,0.1026,1.1282,0.123,13,0.308,39,39
LOW,C4-C1,clarification,0.0769,-0.1538,0.3077,1.0,13,0.154,39,39
LOW,C5-C1,clarification,0.4167,0.0833,0.8333,0.1213,12,0.333,36,36
MID,C3-C1,clarification,0.1282,-0.4103,0.7436,0.7581,13,0.154,39,39
MID,C4-C1,clarification,-0.2564,-0.7692,0.2308,0.4325,13,0.308,39,39
MID,C5-C1,clarification,-0.3333,-0.8462,0.1282,0.2719,13,0.385,39,39
HIGH,C3-C1,clarification,-1.0513,-1.641,-0.4615,0.0173,13,0.692,39,39
HIGH,C4-C1,clarification,-1.3333,-2.0256,-0.6923,0.003,13,0.692,39,39
HIGH,C5-C1,clarification,-2.5385,-3.1538,-1.9231,0.0003,13,0.923,39,39
LOW,C4-C1,verification_depth,0.125,0.0,0.3333,0.4862,12,0.167,36,36
LOW,C5-C1,verification_depth,0.0917,-0.2083,0.4,0.5965,10,0.4,30,30
MID,C4-C1,verification_depth,0.3077,0.0,0.6923,0.2456,13,0.231,39,39
MID,C5-C1,verification_depth,0.3974,0.0513,0.9103,0.127,13,0.308,39,39
HIGH,C4-C1,verification_depth,-0.2692,-0.9615,0.1923,0.7584,13,0.154,39,39
HIGH,C5-C1,verification_depth,0.4583,0.0,0.9583,0.1566,12,0.417,36,36
LOW,C4-C1,verification_effort,0.1806,0.0069,0.3472,0.0603,12,0.583,36,36
LOW,C5-C1,verification_effort,2.7944,1.6111,4.0139,0.0013,12,0.917,36,36
MID,C4-C1,verification_effort,-0.0897,-0.2821,0.1154,0.4299,13,0.462,39,39
MID,C5-C1,verification_effort,2.5833,1.8526,3.359,0.0003,13,1.0,39,39
HIGH,C4-C1,verification_effort,-0.1282,-0.4808,0.2051,0.4902,13,0.385,39,39
HIGH,C5-C1,verification_effort,3.5962,1.7051,5.5962,0.003,13,0.923,39,39
