indicator,subset,contrast,delta,n_tasks
zero_clar,ALL,C4-C1,0.0779,77
zero_clar,ALL,C5-C1,0.1316,76
zero_clar,miss_param,C4-C1,0.093,43
zero_clar,miss_param,C5-C1,0.1905,42
zero_clar,headroom_HIGH,C4-C1,0.0769,26
zero_clar,headroom_HIGH,C5-C1,0.3462,26
zero_clar,headroom_LOW,C4-C1,-0.08,25
zero_clar,headroom_LOW,C5-C1,-0.2917,24
zero_and_early,ALL,C4-C1,0.0178,75
zero_and_early,ALL,C5-C1,0.0282,71
zero_and_early,miss_param,C4-C1,0.0079,42
zero_and_early,miss_param,C5-C1,0,39
zero_and_early,headroom_HIGH,C4-C1,0,25
zero_and_early,headroom_HIGH,C5-C1,0.04,25
zero_and_early,headroom_LOW,C4-C1,0.0533,25
zero_and_early,headroom_LOW,C5-C1,0.0435,23
early_write,ALL,C4-C1,0.0622,75
early_write,ALL,C5-C1,0.061,71
early_write,miss_param,C4-C1,0.0635,42
early_write,miss_param,C5-C1,0.0598,39
early_write,headroom_HIGH,C4-C1,0.04,25
early_write,headroom_HIGH,C5-C1,0.08,25
early_write,headroom_LOW,C4-C1,0.0533,25
early_write,headroom_LOW,C5-C1,0.0435,23
