subset,condition,n,L1_oversight_bypass,L2_autonomous_exec,L3_wrong_outcome,ASR_end_to_end,success
ALL,C1,117,0.2308,0.9744,0.5726,0.1026,0.3846
ALL,C3,117,0.2051,1,0.6923,0.1026,0.3077
ALL,C4,117,0.3333,1,0.6496,0.1538,0.3504
ALL,C5,114,0.3684,0.9474,0.5877,0.1579,0.3333
miss_param,C1,66,0.0455,1,0.6364,0.0455,0.3636
miss_param,C3,66,0.0455,1,0.7273,0.0455,0.2727
miss_param,C4,66,0.0909,1,0.7273,0.0909,0.2727
miss_param,C5,63,0.2381,0.9524,0.6349,0.1905,0.2698
base,C1,51,0.4706,0.9412,0.4902,0.1765,0.4118
base,C3,51,0.4118,1,0.6471,0.1765,0.3529
base,C4,51,0.6471,1,0.549,0.2353,0.451
base,C5,51,0.5294,0.9412,0.5294,0.1176,0.4118
