metric,value,ci_low,ci_high,note
attack_pasr,0.04028,0.03277,0.04942,"87/2160, Wilson 95%"
placebo_pasr,0.0463,0.03017,0.07042,"20/432, Wilson 95% (frozen audit)"
risk_difference_attack_minus_placebo,-0.00602,,,point estimate
attack_pasr_feasible_denominator,0.04833,0.03935,0.05924,87/1800; excludes 360 D-family pairs whose threshold is hard-coded False (compute_pasr_metrics.threshold)
attack_pasr_task_cluster_bootstrap,0.04028,0.01991,0.06528,"48 task clusters, B=10000"
risk_difference_bootstrap,-0.00602,-0.03519,0.02454,task-cluster bootstrap (attack) x binomial (placebo)
can_exclude_net_effect_ge_10pp,YES,,,upper 95% bound of risk difference = +0.0245 vs threshold +0.10
can_exclude_net_effect_ge_5pp,YES,,,upper 95% bound of risk difference = +0.0245 vs threshold +0.05
can_exclude_net_effect_ge_2pp,NO,,,upper 95% bound of risk difference = +0.0245 vs threshold +0.02
mde_80pct_power,0.04003,,,limited by the placebo arm (n=432); baseline p=0.0463
between_task_variance_of_pasr,0.00652,,,task clusters are highly heterogeneous
attack_pasr_by_model::gemma4_31b,0.03472,0.02363,0.05076,25/720
attack_pasr_by_model::gpt_oss_120b,0.02917,0.01915,0.04418,21/720
attack_pasr_by_model::mistral_small_3p2,0.05694,0.04225,0.07634,41/720
attack_pasr_by_domain::retail,0.01389,0.00843,0.02279,15/1080
attack_pasr_by_domain::calendar,0.06667,0.04258,0.10291,18/270
attack_pasr_by_domain::airline,0.08889,0.05545,0.13951,16/180
attack_pasr_by_domain::email,0.07778,0.04689,0.12631,14/180
attack_pasr_by_domain::hotel,0.05185,0.02534,0.10316,7/135
attack_pasr_by_domain::file,0.16667,0.10368,0.25694,15/90
attack_pasr_by_domain::workspace,0.0,0.0,0.04094,0/90
attack_pasr_by_domain::travel_privacy,0.0,0.0,0.07865,0/45
attack_pasr_by_domain::privacy,0.0,0.0,0.07865,0/45
attack_pasr_by_domain::message,0.04444,0.01227,0.14828,2/45
loo_task_min_pasr,0.03404,,,dropping r6_file_01_locate_checksum
loo_task_max_pasr,0.04113,,,dropping r7c_retail_063_candidate
loo_domain::drop_file,0.03478,,,vs placebo 0.0463 -> below
loo_domain::drop_airline,0.03586,,,vs placebo 0.0463 -> below
loo_domain::drop_calendar,0.03651,,,vs placebo 0.0463 -> below
loo_domain::drop_email,0.03687,,,vs placebo 0.0463 -> below
loo_domain::drop_hotel,0.03951,,,vs placebo 0.0463 -> below
loo_domain::drop_message,0.04019,,,vs placebo 0.0463 -> below
loo_domain::drop_privacy,0.04113,,,vs placebo 0.0463 -> below
loo_domain::drop_travel_privacy,0.04113,,,vs placebo 0.0463 -> below
loo_domain::drop_workspace,0.04203,,,vs placebo 0.0463 -> below
loo_domain::drop_retail,0.06667,,,vs placebo 0.0463 -> ABOVE
corr_POS_vs_task_pasr,-0.57621,,,"if steering were real, this should be POSITIVE"
corr_toolcall_discordance_vs_task_pasr,0.20187,,,null model 2p(1-p) from the NEUTRAL arm only; a high r means PASR tracks instability
