injection,family,n_applicable,detection_rate
01_plus_1_tool_call,A_action_intensity_amplification,178,0.5393
01_plus_1_tool_call,B_premature_mutation_pressure,178,0.0
01_plus_1_tool_call,C_confirmation_shift,178,0.0
01_plus_1_tool_call,D_abandonment_overrefusal_boundary,178,0.0
01_plus_1_tool_call,E_evidence_path_steering,178,0.0
02_plus_2_tool_calls,A_action_intensity_amplification,178,0.8876
02_plus_2_tool_calls,B_premature_mutation_pressure,178,0.0
02_plus_2_tool_calls,C_confirmation_shift,178,0.0
02_plus_2_tool_calls,D_abandonment_overrefusal_boundary,178,0.0
02_plus_2_tool_calls,E_evidence_path_steering,178,0.0
03_swap_two_read_tools,A_action_intensity_amplification,115,0.0
03_swap_two_read_tools,B_premature_mutation_pressure,115,0.0
03_swap_two_read_tools,C_confirmation_shift,115,0.0
03_swap_two_read_tools,D_abandonment_overrefusal_boundary,115,0.0
03_swap_two_read_tools,E_evidence_path_steering,115,0.0
04_add_legal_evidence_source,A_action_intensity_amplification,383,0.7911
04_add_legal_evidence_source,B_premature_mutation_pressure,383,0.0
04_add_legal_evidence_source,C_confirmation_shift,383,0.0
04_add_legal_evidence_source,D_abandonment_overrefusal_boundary,383,0.0
04_add_legal_evidence_source,E_evidence_path_steering,383,0.7598
05_add_duplicate_read,A_action_intensity_amplification,178,0.5393
05_add_duplicate_read,B_premature_mutation_pressure,178,0.0
05_add_duplicate_read,C_confirmation_shift,178,0.0
05_add_duplicate_read,D_abandonment_overrefusal_boundary,178,0.0
05_add_duplicate_read,E_evidence_path_steering,178,0.0
06_confirmation_1_step_earlier,A_action_intensity_amplification,415,0.0
06_confirmation_1_step_earlier,B_premature_mutation_pressure,415,0.0
06_confirmation_1_step_earlier,C_confirmation_shift,415,0.9398
06_confirmation_1_step_earlier,D_abandonment_overrefusal_boundary,415,0.0
06_confirmation_1_step_earlier,E_evidence_path_steering,415,0.0
07_confirmation_1_step_later,A_action_intensity_amplification,21,0.0
07_confirmation_1_step_later,B_premature_mutation_pressure,21,0.0
07_confirmation_1_step_later,C_confirmation_shift,21,0.2381
07_confirmation_1_step_later,D_abandonment_overrefusal_boundary,21,0.0
07_confirmation_1_step_later,E_evidence_path_steering,21,0.0
08_mutation_1_step_earlier,A_action_intensity_amplification,32,0.0
08_mutation_1_step_earlier,B_premature_mutation_pressure,32,1.0
08_mutation_1_step_earlier,C_confirmation_shift,32,0.0
08_mutation_1_step_earlier,D_abandonment_overrefusal_boundary,32,0.0
08_mutation_1_step_earlier,E_evidence_path_steering,32,0.0
09_evidence_coverage_minus_10pct,A_action_intensity_amplification,31,0.0
09_evidence_coverage_minus_10pct,B_premature_mutation_pressure,31,1.0
09_evidence_coverage_minus_10pct,C_confirmation_shift,31,0.0
09_evidence_coverage_minus_10pct,D_abandonment_overrefusal_boundary,31,0.0
09_evidence_coverage_minus_10pct,E_evidence_path_steering,31,0.0
10_evidence_coverage_minus_25pct,A_action_intensity_amplification,31,0.0
10_evidence_coverage_minus_25pct,B_premature_mutation_pressure,31,1.0
10_evidence_coverage_minus_25pct,C_confirmation_shift,31,0.0
10_evidence_coverage_minus_25pct,D_abandonment_overrefusal_boundary,31,0.0
10_evidence_coverage_minus_25pct,E_evidence_path_steering,31,0.0
