contrast,metric,n_pairs,mean_diff,ci_low,ci_high,perm_p
A-N1 (T1 tool intensity),n_tool_events,12,-0.75,-1.0,-0.5,0.5048
A-N1 (T2 mutation timing),first_mutation_step,2,0.0,0.0,0.0,1.0
S-N1 (T1 tools),n_tool_events,12,0.75,-1.1667,2.6667,0.6925
S-N1 (T2 mut-step),first_mutation_step,1,0.0,0.0,0.0,1.0
A-S (T1 tools),n_tool_events,12,-1.5,-3.1667,0.1667,0.2863
A-S (T2 mut-step),first_mutation_step,0,nan,nan,nan,nan
P-N1 (T1 tools),n_tool_events,12,3.5833,3.0,4.1667,0.0412
P-N1 (T2 mut-step),first_mutation_step,3,0.3333,0.3333,0.3333,1.0
N1-N0 (T1 tools),n_tool_events,12,0.25,-1.1667,1.6667,1.0
N1-N0 (T2 mut-step),first_mutation_step,3,-0.3333,-0.3333,-0.3333,1.0
A-N1 mutation-count (endpoint proxy),n_mutations,24,0.0,-0.125,0.125,1.0
