block_id,task_uid,tau2_task_id,domain,stratum,model,replicate,branch,prefix_len,junction,n_tool_events,n_reads,n_unique_reads,n_duplicate_reads,n_mutations,n_tool_errors,n_user_turns,n_agent_messages,first_mutation_step,evidence_before_first_mutation,tool_sequence,endpoint_reward,suffix_len_turns,error
retail_T2_60__gemma4_31b__rep0,retail_T2_60,,,,gemma4_31b,0,BLOCK_FAIL,,,,,,,,,,,,,,,,litellm.NotFoundError: NotFoundError: OpenAIException - The model `g4` does not exist.
retail_T2_60__gemma4_31b__rep1,retail_T2_60,,,,gemma4_31b,1,BLOCK_FAIL,,,,,,,,,,,,,,,,litellm.NotFoundError: NotFoundError: OpenAIException - The model `g4` does not exist.
retail_T2_60__gpt_oss_120b__rep0,retail_T2_60,60,retail,T2,gpt_oss_120b,0,N0,8,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T2_60__gpt_oss_120b__rep0,retail_T2_60,60,retail,T2,gpt_oss_120b,0,N1,8,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T2_60__gpt_oss_120b__rep0,retail_T2_60,60,retail,T2,gpt_oss_120b,0,S,8,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gpt_oss_120b__rep0,retail_T2_60,60,retail,T2,gpt_oss_120b,0,A,8,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T2_60__gpt_oss_120b__rep0,retail_T2_60,60,retail,T2,gpt_oss_120b,0,P,8,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T2_60__gpt_oss_120b__rep1,retail_T2_60,60,retail,T2,gpt_oss_120b,1,N0,8,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T2_60__gpt_oss_120b__rep1,retail_T2_60,60,retail,T2,gpt_oss_120b,1,N1,8,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T2_60__gpt_oss_120b__rep1,retail_T2_60,60,retail,T2,gpt_oss_120b,1,S,8,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gpt_oss_120b__rep1,retail_T2_60,60,retail,T2,gpt_oss_120b,1,A,8,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T2_60__gpt_oss_120b__rep1,retail_T2_60,60,retail,T2,gpt_oss_120b,1,P,8,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T2_60__mistral_small_3p2__rep0,retail_T2_60,60,retail,T2,mistral_small_3p2,0,N0,4,agent_first_user_message,4,3,3,0,1,0,3,7,3,3,get_order_details get_product_details calculate modify_pending_order_items,,14,
retail_T2_60__mistral_small_3p2__rep0,retail_T2_60,60,retail,T2,mistral_small_3p2,0,N1,4,agent_first_user_message,2,0,0,0,0,2,3,5,,,get_order_details get_order_details,,10,
retail_T2_60__mistral_small_3p2__rep0,retail_T2_60,60,retail,T2,mistral_small_3p2,0,S,4,agent_first_user_message,1,0,0,0,0,1,3,4,,,get_order_details,,8,
retail_T2_60__mistral_small_3p2__rep0,retail_T2_60,60,retail,T2,mistral_small_3p2,0,A,4,agent_first_user_message,1,0,0,0,0,1,3,4,,,get_order_details,,8,
retail_T2_60__mistral_small_3p2__rep0,retail_T2_60,60,retail,T2,mistral_small_3p2,0,P,4,agent_first_user_message,4,3,3,0,0,1,3,7,,,get_order_details get_product_details calculate exchange_delivered_order_items,,14,
retail_T2_60__mistral_small_3p2__rep1,retail_T2_60,60,retail,T2,mistral_small_3p2,1,N0,8,agent_first_user_message,2,1,1,0,1,0,3,5,1,1,calculate modify_pending_order_items,,10,
retail_T2_60__mistral_small_3p2__rep1,retail_T2_60,60,retail,T2,mistral_small_3p2,1,N1,8,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T2_60__mistral_small_3p2__rep1,retail_T2_60,60,retail,T2,mistral_small_3p2,1,S,8,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T2_60__mistral_small_3p2__rep1,retail_T2_60,60,retail,T2,mistral_small_3p2,1,A,8,agent_first_user_message,2,1,1,0,0,1,3,5,,,calculate exchange_delivered_order_items,,10,
retail_T2_60__mistral_small_3p2__rep1,retail_T2_60,60,retail,T2,mistral_small_3p2,1,P,8,agent_first_user_message,2,1,1,0,1,0,3,5,1,1,calculate modify_pending_order_items,,10,
retail_T1_21__gemma4_31b__rep0,retail_T1_21,,,,gemma4_31b,0,BLOCK_FAIL,,,,,,,,,,,,,,,,litellm.NotFoundError: NotFoundError: OpenAIException - The model `g4` does not exist.
retail_T1_21__gemma4_31b__rep1,retail_T1_21,,,,gemma4_31b,1,BLOCK_FAIL,,,,,,,,,,,,,,,,litellm.NotFoundError: NotFoundError: OpenAIException - The model `g4` does not exist.
retail_T1_21__gpt_oss_120b__rep0,retail_T1_21,21,retail,T1,gpt_oss_120b,0,N0,16,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T1_21__gpt_oss_120b__rep0,retail_T1_21,21,retail,T1,gpt_oss_120b,0,N1,16,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T1_21__gpt_oss_120b__rep0,retail_T1_21,21,retail,T1,gpt_oss_120b,0,S,16,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T1_21__gpt_oss_120b__rep0,retail_T1_21,21,retail,T1,gpt_oss_120b,0,A,16,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T1_21__gpt_oss_120b__rep0,retail_T1_21,21,retail,T1,gpt_oss_120b,0,P,16,agent_first_user_message,3,2,2,0,1,0,3,6,2,2,get_item_details get_item_details modify_pending_order_items,,12,
retail_T1_21__gpt_oss_120b__rep1,retail_T1_21,21,retail,T1,gpt_oss_120b,1,N0,14,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T1_21__gpt_oss_120b__rep1,retail_T1_21,21,retail,T1,gpt_oss_120b,1,N1,14,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T1_21__gpt_oss_120b__rep1,retail_T1_21,21,retail,T1,gpt_oss_120b,1,S,14,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
