family,condition,n_episodes,success_rate,mean_total_tool_calls,mean_verification_depth,mean_reads_before_write,mean_first_write_step,mean_clarification_turns,mean_verification_effort,mean_total_verification_calls
compression,C0,120,0.25,9.4917,1.6184,2.55,2.6316,1.9167,,
compression,C1,117,0.3846,10.0684,1.4013,2.2051,2.2632,1.7265,,
compression,C2,117,0.4444,8.6239,1.8739,2.7863,2.8376,2.1795,,
compression,C3,117,0.3077,9.8547,1.4615,2.4359,2.5128,1.6068,,
compression,C4,117,0.3504,9.5641,1.4551,2.3846,2.4872,1.2222,,
compression,C5,114,0.3333,10.5526,1.7593,2.7281,2.7778,0.8947,,
inflation,C0,117,0.4103,7.7436,,2.3932,2.3063,1.7094,1.7457,4.7607
inflation,C1,114,0.5351,8.0789,,2.3509,2.4144,1.3333,1.8355,5
inflation,C2,114,0.5526,8.2193,,2.4386,2.4505,1.4825,1.864,5.193
inflation,C3,114,0.5526,8.1228,,2.5,2.6486,1.3947,1.8224,5.0702
inflation,C4,114,0.4298,7.9035,,2.6754,2.8288,1.6667,1.818,5.0088
inflation,C5,114,0.3772,15.6667,,5.3509,5.5566,1.3509,4.832,12.7018
