scope,model_alias,task_id,manifest_rows,metric_rows,bundle_rows,valid_runs,invalid_runs,status,errors
block,gemma4_31b,retail_19,30,30,30,30,0,PASS,
block,gemma4_31b,retail_2,30,30,30,30,0,PASS,
block,gemma4_31b,retail_21,30,30,30,30,0,PASS,
block,gemma4_31b,retail_23,30,30,30,30,0,PASS,
block,gemma4_31b,retail_28,30,30,30,30,0,PASS,
block,gemma4_31b,retail_41,30,30,30,29,1,PASS,
block,gemma4_31b,retail_6,30,30,30,30,0,PASS,
block,gemma4_31b,retail_64,30,30,30,30,0,PASS,
block,gpt_oss_120b,retail_19,30,30,30,30,0,PASS,
block,gpt_oss_120b,retail_2,30,30,30,30,0,PASS,
block,gpt_oss_120b,retail_21,30,30,30,30,0,PASS,
block,gpt_oss_120b,retail_23,30,30,30,30,0,PASS,
block,gpt_oss_120b,retail_28,30,30,30,30,0,PASS,
block,gpt_oss_120b,retail_41,30,30,30,30,0,PASS,
block,gpt_oss_120b,retail_6,30,30,30,30,0,PASS,
block,gpt_oss_120b,retail_64,30,30,30,30,0,PASS,
global,,,480,480,480,479,1,PASS,
